"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Justin Turner","LAD","131","544","477","133","24","1","22","77","77","51","88","12","2","1","",".278",".359",".473",".832",".357","125","","3.0","","148.3","","3.07","0.23","0.66","5235"
"Brandon Nimmo","NYM","123","521","434","114","23","4","13","71","48","73","111","10","7","3","",".262",".380",".424",".804",".354","123","","3.0","","333.3","","4.15","-0.24","0.63","12927"
"Harrison Bader","STL","140","517","460","113","23","2","19","64","58","43","128","10","12","4","",".245",".321",".426",".746",".321","102","","2.9","","241.6","","4.30","-0.60","0.66","18030"
"Tyler Stephenson","CIN","131","484","425","114","24","1","14","61","57","48","99","7","0","0","",".269",".351",".425",".776",".338","106","","2.9","","136.5","","3.66","0.10","0.62","17988"
"Christian Yelich","MIL","137","582","493","131","26","3","22","86","73","81","140","5","13","4","",".266",".374",".462",".836",".360","124","","2.9","","98.7","","2.34","-0.37","0.43","11477"
"Tyler O'Neill","STL","139","546","492","126","23","2","31","81","83","42","167","9","13","3","",".257",".324",".502",".826",".350","120","","2.8","","46.9","","3.94","0.29","0.54","15711"
"Enrique Hernández","BOS","139","575","509","126","30","2","22","77","68","54","111","7","2","1","",".248",".325",".445",".771",".331","105","","2.8","","226.5","","3.33","-0.45","0.51","10472"
"Javier Báez","DET","144","588","549","139","26","3","27","80","83","28","176","7","16","5","",".254",".297",".462",".759",".319","102","","2.8","","63.1","","4.25","0.46","0.68","12979"
"Willson Contreras","CHC","129","523","452","111","21","1","22","69","67","52","140","15","4","2","",".246",".341",".445",".786",".340","114","","2.7","","109.9","","2.02","0.06","0.33","11609"
"Starling Marte","NYM","135","591","532","148","27","3","16","88","64","41","109","14","35","7","",".278",".344",".431",".776",".336","111","","2.7","","31.8","","5.48","1.87","2.14","9241"
"Kyle Schwarber","PHI","137","578","491","120","21","1","36","87","83","79","156","6","2","1","",".243",".353",".512",".866",".367","129","","2.7","","108.0","","2.54","-0.26","1.20","16478"
"Brandon Crawford","SFG","130","531","472","122","26","2","17","67","68","49","109","5","5","3","",".258",".332",".433",".765",".327","105","","2.7","","224.8","","3.25","1.06","0.17","5343"
"Dansby Swanson","ATL","152","629","567","142","30","2","25","80","79","51","157","5","9","3","",".251",".317",".443",".760",".324","99","","2.7","","122.4","","3.09","-0.92","0.49","18314"
"Seiya Suzuki","CHC","125","519","449","119","24","2","22","65","68","59","102","7","7","4","",".266",".357",".474",".832",".356","125","","2.6","","999.0","","6.23","0.41","0.27","sa3018052"
"Julio Rodríguez","SEA","98","413","371","100","20","2","13","54","49","34","91","5","9","3","",".270",".339",".439",".777",".334","117","","2.6","","221.7","","7.87","-0.72","0.84","sa3005720"
"Ramón Laureano","OAK","118","495","442","112","24","2","20","66","59","37","128","11","13","4","",".254",".325",".454",".779",".334","116","","2.6","","258.7","","3.88","-0.88","0.62","17128"
"Max Kepler","MIN","133","558","488","114","25","3","24","74","68","60","104","7","8","2","",".234",".323",".445",".769",".330","109","","2.5","","301.1","","1.36","-0.76","0.76","12144"
"Dylan Carlson","STL","150","635","560","144","31","4","21","80","72","59","152","9","5","2","",".257",".335",".440",".775",".334","110","","2.5","","166.6","","3.59","0.91","0.32","20126"
"Michael Conforto","","125","542","463","119","25","1","22","70","72","66","118","10","3","1","",".257",".361",".456",".816",".352","122","","2.5","","241.8","","2.90","-0.36","0.32","16376"
"Sean Murphy","OAK","112","420","370","84","18","1","18","47","51","41","108","7","0","0","",".226",".314",".423",".737",".319","106","","2.5","","245.5","","2.54","-0.92","0.45","19352"
"Brandon Belt","SFG","123","504","432","108","22","2","26","72","69","65","122","5","3","2","",".250",".354",".491",".845",".360","128","","2.5","","240.5","","3.63","1.27","0.48","10264"
"Kolten Wong","MIL","130","553","492","131","27","3","12","74","55","42","89","13","14","5","",".267",".338",".410",".748",".324","100","","2.5","","196.2","","2.86","0.36","0.94","12532"
"Luis Urías","MIL","133","523","458","115","23","2","18","67","63","53","110","10","5","2","",".251",".340",".427",".767",".333","106","","2.5","","211.3","","3.17","-0.44","0.07","16622"
"Gleyber Torres","NYY","137","564","502","132","25","1","19","67","68","54","112","4","11","4","",".263",".337",".431",".768",".332","109","","2.5","","161.3","","3.04","0.85","0.40","16997"
"Mitch Haniger","SEA","138","617","548","136","25","2","30","86","84","54","151","9","3","1","",".249",".324",".467",".791",".338","119","","2.5","","108.7","","3.44","0.32","0.93","14274"
"Nick Castellanos","PHI","146","629","574","160","36","3","32","93","95","44","139","7","3","1","",".280",".335",".516",".851",".359","123","","2.4","","57.4","","2.80","0.06","0.95","11737"
"Ty France","SEA","142","587","523","143","28","1","19","73","73","42","108","18","0","0","",".272",".345",".439",".783",".340","120","","2.4","","160.5","","2.91","0.04","0.68","17982"
"J.P. Crawford","SEA","147","630","560","142","29","2","10","75","55","58","111","6","8","3","",".254",".328",".365",".693",".306","97","","2.4","","491.1","","1.96","-0.66","0.70","15491"
"Alex Verdugo","BOS","142","599","541","155","35","2","15","81","65","49","97","5","6","2","",".287",".348",".440",".788",".339","111","","2.4","","173.1","","1.89","-0.63","0.97","17027"
"Bobby Witt Jr.","KCR","130","556","507","129","28","3","20","69","70","39","129","6","17","5","",".254",".311",".440",".752",".321","102","","2.4","","78.7","","4.15","-0.65","0.85","sa3011225"
"DJ LeMahieu","NYY","130","576","517","145","24","2","12","76","58","52","78","3","4","2","",".281",".348",".403",".751",".328","106","","2.4","","126.8","","4.55","0.08","0.94","9874"
"Jean Segura","PHI","134","570","521","146","26","3","14","75","62","38","84","7","9","3","",".281",".336",".423",".760",".328","103","","2.3","","207.7","","2.26","0.82","0.80","5933"
"Kris Bryant","COL","142","615","534","145","33","3","27","91","82","67","135","12","7","2","",".273",".365",".495",".860",".368","117","","2.3","","67.7","","3.85","-0.76","0.45","15429"
"Miguel Rojas","MIA","130","525","480","128","25","2","8","62","49","37","70","6","12","4","",".268",".326",".381",".707",".308","96","","2.3","","508.4","","1.50","-0.29","1.01","7802"
"Giancarlo Stanton","NYY","137","583","512","134","22","0","34","78","94","63","162","5","1","1","",".262",".346",".508",".854",".358","126","","2.3","","95.4","","2.58","0.34","1.08","4949"
"Tommy Edman","STL","138","595","549","147","30","4","12","79","56","35","93","7","22","5","",".267",".317",".402",".718",".311","95","","2.3","","94.3","","2.61","-1.23","1.47","19470"
"Whit Merrifield","KCR","147","651","602","169","35","4","12","87","64","38","96","5","29","7","",".281",".326",".412",".738",".318","100","","2.3","","33.2","","2.77","0.59","1.89","11281"
"Mitch Garver","TEX","107","415","361","86","17","1","21","53","56","45","120","5","1","1","",".238",".328",".464",".791",".339","116","","2.3","","155.9","","2.83","-0.15","0.43","15161"
"Avisaíl García","MIA","139","571","517","137","23","1","23","70","76","40","135","10","8","3","",".264",".327",".445",".773",".331","110","","2.3","","173.7","","2.99","-0.12","0.18","5760"
"Myles Straw","CLE","143","569","504","133","24","2","4","74","42","58","110","3","31","6","",".263",".341",".343",".684",".305","92","","2.3","","128.4","","2.54","-0.32","2.41","17620"
"Jared Walsh","LAA","141","579","520","136","28","2","29","77","91","48","148","6","2","1","",".261",".327",".491",".819",".346","120","","2.2","","120.1","","2.36","-0.22","0.85","18607"
"Teoscar Hernández","TOR","144","609","557","148","29","2","34","88","99","44","165","6","11","4","",".266",".324",".506",".829",".351","120","","2.2","","27.5","","3.27","0.20","0.57","13066"
"Jacob Stallings","MIA","112","422","374","91","18","1","9","40","43","40","92","4","0","0","",".243",".320",".366",".686",".302","91","","2.2","","469.5","","2.33","0.76","0.48","13723"
"Marcell Ozuna","ATL","128","545","485","129","21","1","27","72","81","55","117","3","2","1","",".265",".342",".479",".821",".351","117","","2.2","","166.9","","2.21","-3.41","0.63","10324"
"Mike Yastrzemski","SFG","131","531","469","114","26","3","23","71","68","52","132","7","4","2","",".242",".325",".460",".785",".336","111","","2.2","","299.2","","2.72","-0.45","0.46","14854"
"Keibert Ruiz","WSN","105","412","377","102","20","1","16","47","55","29","49","4","0","0","",".269",".328",".450",".778",".334","106","","2.2","","146.4","","2.97","-0.31","0.75","19610"
"Jesús Sánchez","MIA","131","533","484","123","20","4","23","62","72","41","141","5","3","1","",".255",".319",".456",".774",".331","110","","2.2","","236.6","","2.23","-0.73","0.42","19913"
"Eloy Jiménez","CHW","142","589","544","147","29","1","31","74","93","38","143","4","1","0","",".271",".321",".500",".821",".347","119","","2.2","","65.7","","3.01","-0.35","0.99","17484"
"Eugenio Suárez","SEA","126","515","450","98","17","1","28","63","72","54","149","7","1","1","",".218",".309",".442",".751",".322","109","","2.2","","209.4","","3.50","-0.12","1.13","12552"
"Daulton Varsho","ARI","121","461","415","105","22","3","18","62","58","40","99","4","10","2","",".253",".324",".450",".775",".332","105","","2.2","","91.6","","4.40","0.09","0.51","19918"
"Randy Arozarena","TBR","142","597","525","136","28","3","23","84","71","52","159","15","19","8","",".259",".341",".453",".794",".342","115","","2.2","","66.6","","3.00","0.43","0.83","19290"
"Ian Happ","CHC","137","545","472","114","22","2","25","69","71","65","154","5","8","3","",".241",".338",".456",".793",".341","115","","2.2","","224.6","","2.62","-0.07","0.58","17919"
"Anthony Rizzo","NYY","136","574","494","126","22","2","24","75","74","58","88","17","5","2","",".255",".351",".454",".805",".345","117","","2.1","","186.8","","3.14","0.33","0.31","3473"
"Paul DeJong","STL","122","478","423","97","19","1","20","56","60","41","120","8","5","2","",".229",".307",".418",".724",".312","96","","2.1","","499.0","","2.96","-0.90","0.52","18015"
"Adley Rutschman","BAL","90","365","320","80","16","1","12","42","42","39","70","3","2","1","",".250",".336",".420",".756",".327","106","","2.1","","219.7","","4.27","1.14","0.61","sa3011643"
"Ryan McMahon","COL","143","583","518","132","28","2","25","77","81","57","154","4","5","2","",".254",".331",".459",".790",".338","98","","2.1","","156.3","","1.97","-0.05","0.46","15112"
"José Abreu","CHW","149","644","574","152","30","2","30","86","101","49","140","15","1","1","",".265",".335",".482",".816",".346","118","","2.1","","79.7","","1.41","0.81","1.10","15676"
"Adam Frazier","SEA","138","573","521","138","27","3","7","69","47","40","72","8","7","4","",".266",".328",".373",".701",".308","99","","2.0","","416.8","","2.58","0.17","0.90","15223"
"J.D. Martinez","BOS","143","622","556","152","33","2","29","85","93","57","146","4","1","1","",".273",".343",".497",".840",".354","121","","2.0","","88.4","","1.90","-1.11","0.95","6184"
"Adalberto Mondesi","KCR","118","482","449","110","22","5","16","64","54","23","141","3","42","8","",".244",".284",".421",".706",".301","88","","2.0","","57.2","","4.18","-0.45","2.92","13769"
"Alejandro Kirk","TOR","97","359","317","84","18","0","14","44","50","35","49","4","1","0","",".266",".344",".461",".805",".346","116","","2.0","","213.9","","3.05","1.00","0.74","22581"
"Danny Jansen","TOR","93","337","295","69","15","1","15","44","44","32","69","5","0","0","",".234",".319",".441",".759",".327","104","","2.0","","399.5","","2.52","-0.54","0.43","16535"
"Chris Taylor","LAD","132","522","459","116","26","3","18","74","67","53","145","6","10","2","",".254",".336",".442",".778",".336","111","","2.0","","141.5","","2.62","0.06","0.36","13757"
"Mike Zunino","TBR","102","369","332","67","12","1","23","48","55","30","132","6","0","0","",".203",".280",".456",".737",".313","96","","2.0","","258.0","","2.97","-0.65","0.90","13265"
"Michael Brantley","HOU","118","507","461","134","27","2","11","65","55","39","59","5","2","1","",".290",".351",".431",".782",".337","117","","1.9","","254.4","","2.45","-0.41","1.14","4106"
"Josh Bell","WSN","145","605","527","140","26","2","30","82","93","68","118","4","0","0","",".266",".351",".491",".842",".358","122","","1.9","","131.3","","2.63","-0.32","0.97","13145"
"Jeff McNeil","NYM","129","516","464","129","26","2","12","61","56","37","69","12","4","2","",".277",".343",".419",".762",".331","108","","1.9","","326.3","","2.06","-0.49","0.80","15362"
"Joey Votto","CIN","138","588","500","127","24","1","29","80","84","81","132","4","1","1","",".255",".361",".484",".845",".358","118","","1.9","","141.5","","2.53","-1.06","0.82","4314"
"Andrew Benintendi","KCR","131","557","496","134","28","3","17","68","69","47","108","5","10","5","",".270",".337",".444",".780",".332","109","","1.9","","193.3","","2.61","0.63","0.45","17901"
"Carson Kelly","ARI","107","404","353","85","16","1","15","45","51","43","84","5","0","0","",".241",".329",".418",".748",".324","100","","1.9","","278.1","","1.61","0.08","0.37","13620"
"Eduardo Escobar","NYM","139","581","529","128","25","4","24","68","78","44","119","3","2","1","",".243",".303",".438",".740",".315","98","","1.9","","203.7","","2.13","-0.14","0.69","6153"
"Amed Rosario","CLE","139","576","540","150","26","6","13","73","60","30","115","3","14","4","",".278",".318",".417",".735",".317","100","","1.9","","173.6","","1.29","0.02","1.02","15518"
"Franmil Reyes","CLE","144","593","530","135","23","1","36","76","97","54","177","3","3","1","",".255",".324",".506",".830",".350","122","","1.9","","121.0","","3.69","-0.45","1.10","14566"
"Brian Anderson","MIA","117","470","414","102","20","1","15","52","55","44","115","10","5","1","",".247",".332",".412",".744",".325","106","","1.9","","524.7","","3.59","-0.76","0.36","18289"
"Oneil Cruz","","111","452","414","108","22","4","16","58","57","33","118","2","11","4","",".260",".317",".448",".765",".327","105","","1.9","","218.0","","3.72","-0.50","0.65","21711"
"Nathaniel Lowe","TEX","141","585","507","131","24","2","19","72","71","71","147","4","6","1","",".258",".352",".426",".777",".339","116","","1.8","","250.0","","1.82","-0.11","0.17","19566"
"Jazz Chisholm Jr.","MIA","132","558","504","121","21","5","21","77","61","44","161","6","23","7","",".240",".307",".425",".731",".315","100","","1.8","","79.7","","3.97","0.53","1.48","20454"
"Max Stassi","LAA","101","381","335","75","13","1","15","45","44","35","112","7","0","0","",".225",".307",".403",".710",".308","94","","1.8","","301.3","","2.35","-0.02","0.37","10059"
"AJ Pollock","CHW","110","430","391","106","22","1","21","57","65","30","87","5","7","2","",".270",".328",".491",".819",".347","119","","1.8","","220.7","","3.16","-0.95","0.50","9256"
"Nicky Lopez","KCR","136","536","479","127","21","4","3","63","41","43","76","4","16","4","",".266",".330",".346",".677",".300","88","","1.8","","256.5","","2.75","-0.49","1.54","19339"
"Nick Madrigal","CHC","114","448","415","122","20","4","4","50","41","25","33","6","8","4","",".294",".341",".390",".731",".319","100","","1.8","","385.2","","2.03","0.28","1.57","20521"
