"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Dylan Moore","SEA","65","220","195","41","9","1","7","27","23","20","62","4","11","4","",".213",".299",".381",".680",".298","92","","0.5","","538.3","","4.17","0.18","1.49","18042"
"Austin Hedges","CLE","97","352","318","62","11","0","12","33","38","21","100","3","1","1","",".195",".250",".346",".596",".257","59","","0.5","","587.9","","2.68","-0.88","0.72","12976"
"Jorge Mateo","BAL","114","391","362","86","19","4","8","41","35","19","107","4","15","4","",".237",".281",".377",".658",".284","76","","0.5","","408.9","","2.43","0.56","1.41","17273"
"DJ Stewart","BAL","72","280","238","52","11","1","13","33","33","36","75","4","1","0","",".219",".329",".426",".755",".328","106","","0.5","","600.9","","3.24","-0.24","0.71","17766"
"Bobby Bradley","CLE","104","420","373","80","16","1","21","50","59","38","144","5","0","0","",".213",".293",".431",".724",".310","95","","0.5","","528.8","","2.39","2.09","0.75","17278"
"Brett Gardner","","68","255","220","51","9","2","6","30","25","30","55","2","3","1","",".230",".325",".379",".704",".309","93","","0.5","","598.6","","2.57","0.45","0.99","9927"
"Dom Nuñez","COL","68","249","217","44","9","1","10","28","29","28","77","2","1","0","",".205",".301",".400",".701",".303","75","","0.5","","590.8","","1.41","-0.02","0.76","15055"
"Kevin Pillar","LAD","62","231","217","55","11","1","9","30","31","9","45","4","4","1","",".252",".291",".436",".727",".310","94","","0.5","","595.5","","10.50","-0.04","1.09","12434"
"Luis Campusano","SDP","34","123","113","29","5","0","3","13","14","9","29","1","0","0","",".253",".313",".392",".705",".307","92","","0.5","","999.0","","4.41","0.48","1.53","22217"
"Mike Brosseau","MIL","64","242","216","51","10","1","9","29","29","20","66","5","3","1","",".235",".309",".413",".722",".312","93","","0.5","","599.3","","4.24","0.20","0.97","19683"
"Michael Perez","PIT","54","192","173","36","8","1","6","18","20","17","53","1","0","0","",".207",".281",".355",".636",".278","73","","0.5","","600.9","","1.60","0.12","1.09","12977"
"MJ Melendez","KCR","45","178","159","38","8","1","7","22","25","17","46","1","1","1","",".237",".313",".441",".754",".323","103","","0.5","","485.8","","3.88","2.89","1.16","sa3004139"
"Hoy Park","PIT","38","146","125","30","6","1","3","17","14","18","33","1","3","1","",".239",".338",".372",".710",".314","96","","0.4","","600.5","","3.42","0.72","1.50","18027"
"Eric Haase","DET","88","334","302","66","12","1","16","38","44","24","109","2","1","1","",".219",".277",".427",".704",".299","88","","0.4","","319.5","","4.37","0.05","0.58","14111"
"Johan Camargo","PHI","54","172","157","39","8","1","6","20","20","14","38","1","0","0","",".248",".312",".417",".729",".314","94","","0.4","","600.9","","3.05","1.93","1.30","14950"
"David Bote","CHC","41","155","137","33","6","1","6","17","19","15","37","2","1","0","",".237",".318",".416",".734",".318","99","","0.4","","600.2","","3.03","-0.14","1.34","14593"
"Isaac Paredes","","27","104","91","23","5","0","3","12","11","11","16","1","0","0","",".253",".339",".395",".734",".321","103","","0.4","","600.9","","3.93","1.46","1.62","20036"
"Eric Hosmer","SDP","125","509","462","122","22","1","15","56","63","40","98","4","4","2","",".265",".326",".411",".736",".318","99","","0.4","","503.3","","3.17","0.13","0.48","3516"
"Taylor Ward","LAA","51","199","176","43","9","0","6","26","23","19","50","3","2","1","",".246",".328",".412",".740",".322","104","","0.4","","600.7","","5.05","0.91","1.20","17548"
"Yu Chang","CLE","60","218","200","46","10","1","7","25","27","15","61","2","2","1","",".230",".290",".402",".693",".299","88","","0.4","","597.2","","2.22","-1.53","1.03","14773"
"Mauricio Dubón","SFG","43","157","145","37","7","1","4","18","16","10","29","1","2","1","",".255",".304",".392",".696",".300","88","","0.4","","596.6","","4.11","2.83","1.50","16530"
"Jon Berti","MIA","45","170","147","35","6","1","2","21","14","18","39","3","6","2","",".237",".328",".336",".664",".298","89","","0.4","","585.6","","3.91","0.67","1.57","12037"
"Jarren Duran","","67","273","249","63","13","3","7","35","27","19","74","3","9","3","",".252",".310",".405",".715",".309","90","","0.4","","533.7","","7.53","0.03","1.31","24617"
"Sam Hilliard","COL","98","362","328","75","14","3","17","47","46","31","121","2","8","2","",".228",".297",".446",".744",".317","84","","0.4","","516.8","","2.11","0.97","0.73","17954"
"Travis Swaggerty","","39","160","143","34","7","1","4","18","15","15","40","1","5","1","",".236",".310",".378",".688",".300","87","","0.4","","598.4","","3.17","0.75","1.50","sa3007512"
"Jed Lowrie","OAK","99","398","355","87","20","1","11","42","47","38","84","2","0","0","",".244",".319",".401",".720",".309","99","","0.4","","586.0","","3.21","-1.74","0.45","4418"
"Nick Pratto","KCR","71","288","255","58","13","2","12","35","37","28","90","3","5","1","",".229",".311",".431",".741",".319","100","","0.4","","563.8","","5.01","0.85","0.82","sa3004138"
"Gabriel Arias","CLE","28","107","99","25","5","0","3","12","11","6","27","1","1","0","",".256",".305",".399",".704",".304","91","","0.4","","600.8","","4.13","3.00","1.63","sa3004047"
"Donovan Solano","CIN","61","237","217","60","12","0","5","26","25","14","43","3","1","0","",".275",".326",".409",".735",".318","93","","0.4","","596.2","","3.60","-0.29","1.37","8623"
"Jose Siri","HOU","62","210","194","46","9","1","7","26","25","13","73","2","8","2","",".236",".289",".405",".693",".298","90","","0.4","","582.0","","4.87","0.20","1.35","17452"
"Nick Gordon","MIN","47","174","161","40","8","1","3","20","17","10","40","2","7","2","",".250",".301",".381",".683",".296","86","","0.4","","591.6","","3.77","-0.31","1.60","16337"
"Aristides Aquino","CIN","81","289","257","58","11","1","16","37","40","27","92","3","4","1","",".225",".305",".464",".769",".327","99","","0.4","","590.9","","4.65","-0.05","0.74","15482"
"Nolan Jones","","35","141","123","28","6","0","4","16","14","16","46","1","2","1","",".229",".321",".395",".716",".313","97","","0.4","","598.5","","4.19","0.69","1.42","sa917941"
"Clint Frazier","CHC","94","365","319","74","17","1","13","42","41","40","102","5","3","1","",".234",".326",".416",".742",".323","103","","0.3","","515.0","","3.62","-0.24","0.56","15983"
"Yoshi Tsutsugo","PIT","118","458","398","90","20","1","17","54","57","54","117","3","0","0","",".227",".321",".411",".733",".319","99","","0.3","","462.9","","2.89","-1.71","0.39","27459"
"Luis Rengifo","","34","131","117","28","5","1","3","15","13","10","26","1","2","1","",".241",".305",".381",".686",".299","88","","0.3","","600.3","","4.39","1.42","1.54","19858"
"Triston Casas","BOS","43","177","155","38","8","1","6","23","22","19","40","2","2","1","",".248",".334",".427",".761",".329","104","","0.3","","549.2","","4.48","0.00","1.27","sa3007634"
"Raimel Tapia","TOR","105","423","388","103","22","2","5","52","37","28","70","2","14","4","",".265",".316",".369",".685",".299","84","","0.3","","317.9","","2.25","-0.16","1.40","14350"
"Wilson Ramos","","24","92","85","22","4","0","3","10","12","6","17","1","0","0","",".264",".315",".418",".733",".315","99","","0.3","","600.9","","3.85","1.49","1.66","1433"
"Lewin Díaz","","50","194","179","42","9","1","10","23","26","12","45","2","1","0","",".234",".290",".450",".740",".314","99","","0.3","","593.7","","3.40","1.30","1.11","18365"
"Seth Beer","ARI","103","374","333","84","18","1","14","46","48","27","85","12","0","1","",".253",".330",".438",".769",".332","105","","0.3","","556.4","","5.28","-0.64","0.52","20493"
"Starlin Castro","","34","138","127","35","7","1","4","15","16","9","25","1","0","0","",".272",".319",".422",".741",".317","95","","0.3","","600.3","","3.32","2.67","1.58","4579"
"Jurickson Profar","SDP","122","451","395","93","20","2","10","52","44","45","68","7","9","3","",".235",".321",".370",".691",".305","91","","0.3","","559.0","","1.75","-0.22","0.78","10815"
"Christian Arroyo","BOS","44","166","152","38","8","1","6","20","20","10","39","3","1","1","",".248",".306",".422",".728",".313","93","","0.3","","597.6","","1.61","0.90","1.33","16434"
"Cam Gallagher","KCR","31","109","98","24","5","0","2","10","10","8","20","1","0","0","",".240",".301",".343",".644",".284","77","","0.3","","600.3","","1.77","0.86","1.60","12981"
"Edward Olivares","KCR","36","137","125","32","6","1","5","16","15","9","27","2","3","1","",".258",".312",".427",".738",".317","99","","0.3","","574.8","","4.50","1.94","1.58","19698"
"Nick Fortes","","24","86","78","19","3","0","2","9","10","6","17","1","1","0","",".243",".311",".375",".686",".300","90","","0.3","","598.7","","3.45","1.46","1.68","21538"
"Jake Rogers","DET","18","70","61","13","2","0","3","7","8","6","23","1","0","0","",".208",".290",".387",".676",".295","85","","0.3","","600.8","","2.93","1.03","1.65","19452"
"Jose Trevino","NYY","50","184","171","40","8","0","4","17","18","8","34","1","1","0","",".235",".268",".354",".622",".268","68","","0.3","","599.4","","1.72","1.35","1.30","16725"
"Yonny Hernandez","","26","104","88","21","3","0","0","12","6","13","19","2","6","2","",".239",".345",".298",".642",".295","87","","0.3","","600.8","","3.98","1.52","1.83","19432"
"Greg Allen","PIT","66","234","204","50","11","1","4","28","20","17","54","7","14","2","",".244",".318",".364",".682",".299","86","","0.3","","597.3","","8.28","1.00","1.78","16623"
"Robinson Canó","NYM","81","331","305","80","16","1","11","37","41","21","52","3","1","0","",".262",".314",".423",".737",".315","97","","0.3","","537.7","","2.77","-0.99","0.86","3269"
"Cooper Hummel","ARI","34","134","115","28","5","1","4","16","15","16","32","2","1","0","",".240",".344",".406",".750",".329","103","","0.3","","999.0","","2.57","2.11","1.46","sa918412"
"CJ Abrams","SDP","36","146","134","32","8","1","2","17","14","9","30","1","6","1","",".237",".291",".357",".648",".282","76","","0.3","","485.8","","4.06","0.71","1.61","sa3010152"
"Brett Phillips","TBR","59","186","161","31","5","2","7","24","21","21","67","1","8","2","",".195",".289",".376",".665",".289","80","","0.3","","595.0","","3.71","0.05","1.33","14735"
"Tyler Wade","LAA","83","247","220","50","10","1","3","32","19","21","61","2","17","4","",".227",".301",".324",".626",".278","74","","0.3","","512.0","","6.08","0.96","1.90","15730"
"Orlando Arcia","ATL","33","119","109","27","5","0","4","14","13","8","21","1","1","1","",".252",".308",".401",".709",".305","87","","0.3","","600.8","","3.58","1.13","1.57","13185"
"Garrett Hampson","COL","96","357","325","81","15","4","9","46","32","25","89","2","14","4","",".250",".306",".403",".709",".306","77","","0.3","","350.4","","5.88","0.27","1.34","19262"
"Michael Hermosillo","CHC","35","127","111","25","5","0","5","16","14","11","37","4","2","1","",".224",".308",".398",".706",".306","92","","0.3","","599.0","","3.55","-0.15","1.44","16285"
"Jace Peterson","MIL","61","224","194","46","9","1","5","26","23","26","52","2","6","1","",".235",".326",".373",".699",".305","87","","0.3","","584.1","","3.71","0.23","1.28","12325"
"Sergio Alcántara","ARI","45","162","142","32","5","1","3","17","13","17","41","1","2","1","",".227",".314",".337",".650",".289","77","","0.3","","600.4","","2.41","0.99","1.40","16417"
"Cole Tucker","PIT","81","307","274","63","13","2","5","32","26","28","73","2","6","2","",".228",".302",".350",".652",".287","78","","0.3","","589.0","","2.64","0.56","1.05","17326"
"Brennen Davis","CHC","48","193","170","40","9","1","7","25","22","18","56","3","3","1","",".237",".320",".418",".738",".320","101","","0.3","","999.0","","6.41","-0.08","1.20","sa3007876"
"Brent Rooker","MIN","55","220","194","43","9","0","9","26","27","20","72","5","1","0","",".222",".310",".420",".730",".316","100","","0.3","","599.8","","2.98","0.61","0.95","19627"
"Tomás Nido","NYM","56","186","175","38","8","0","5","17","19","8","48","2","1","0","",".220",".263",".346",".609",".264","64","","0.3","","600.8","","2.02","-0.82","1.19","13755"
"Josh Lowe","","58","224","199","47","10","1","7","27","26","22","65","1","8","1","",".236",".312",".397",".709",".308","93","","0.3","","503.0","","9.38","-0.08","1.29","19953"
"Willie Calhoun","TEX","109","423","385","98","18","2","15","47","48","30","59","4","1","1","",".253",".312",".424",".736",".317","101","","0.3","","488.4","","5.38","0.52","0.50","17838"
"Sheldon Neuse","OAK","63","216","201","46","9","1","5","22","22","13","65","1","2","1","",".230",".280",".361",".641",".279","78","","0.3","","999.0","","4.35","0.07","1.16","19635"
"Luis Guillorme","NYM","36","120","104","26","4","0","1","12","10","14","21","1","1","0","",".247",".338",".329",".668",".300","87","","0.2","","999.0","","3.50","1.83","1.62","16451"
"Kelvin Gutierrez","BAL","87","335","309","74","12","2","6","31","30","22","89","3","2","1","",".238",".295",".351",".646",".284","76","","0.2","","598.0","","1.75","-0.27","0.88","17468"
"Trevor Larnach","","83","334","295","69","14","0","9","37","35","31","107","5","2","0","",".235",".318",".381",".699",".306","93","","0.2","","581.6","","4.49","-0.77","0.65","21501"
"Jake Burger","","26","95","88","21","5","0","4","12","12","6","28","1","0","0","",".237",".288",".423",".711",".304","90","","0.2","","597.4","","5.11","1.64","1.55","22275"
"Hanser Alberto","LAD","38","141","133","36","7","1","2","16","15","4","16","2","2","1","",".272",".300",".392",".691",".298","86","","0.2","","600.5","","3.45","1.71","1.62","11902"
"Alex Dickerson","ATL","74","263","237","60","12","1","11","34","34","20","59","4","1","0","",".253",".322",".460",".782",".334","106","","0.2","","598.8","","2.70","0.36","0.91","12649"
"Garrett Stubbs","PHI","27","96","81","18","4","0","1","10","8","10","20","1","1","0","",".216",".302",".319",".621",".277","70","","0.2","","600.8","","1.71","1.40","1.61","18067"
"Matt Beaty","SDP","75","236","213","54","11","1","7","30","30","17","44","6","2","1","",".254",".326",".409",".735",".320","101","","0.2","","587.9","","7.10","1.36","1.09","17710"
"Richie Palacios","","16","60","53","14","3","0","1","7","6","5","11","1","2","0","",".259",".335",".395",".730",".319","101","","0.2","","600.8","","3.92","3.81","1.83","sa3006908"
"Keston Hiura","MIL","78","300","266","61","13","1","13","37","38","24","101","7","4","2","",".230",".309",".437",".747",".321","98","","0.2","","403.9","","4.33","-0.36","0.74","20003"
"William Contreras","ATL","15","53","48","12","3","0","2","6","6","4","14","0","0","0","",".244",".310",".425",".735",".317","95","","0.2","","595.1","","4.37","2.15","1.76","20503"
"Juan Yepez","","34","136","122","30","7","0","6","16","18","11","30","2","1","0","",".246",".314",".444",".758",".325","104","","0.2","","570.4","","5.36","0.42","1.42","sa877505"
"Adam Eaton","","43","172","151","37","7","1","3","21","16","15","36","3","2","1","",".246",".325",".378",".703",".309","94","","0.2","","999.0","","3.51","0.73","1.40","11205"
"Andrew Velazquez","","31","111","100","22","5","1","3","13","11","8","35","1","6","1","",".221",".286",".363",".649",".283","77","","0.2","","600.9","","3.71","1.68","1.69","14196"
"Tyler Freeman","","14","48","44","13","3","0","0","6","5","2","6","1","1","0","",".285",".330",".394",".724",".314","98","","0.2","","999.0","","3.58","0.97","1.89","sa3004755"
"Jorge Alfaro","SDP","85","318","295","71","12","1","9","31","36","16","102","6","5","2","",".240",".293",".377",".671",".292","82","","0.2","","446.7","","1.81","0.26","0.96","12180"
"Reese McGuire","CHW","25","88","79","18","4","0","2","9","8","6","18","1","0","0","",".231",".292",".344",".636",".279","71","","0.2","","600.2","","2.32","0.78","1.64","15674"
"Mitch Moreland","","51","193","174","41","8","1","8","23","26","17","44","1","0","0","",".236",".305",".433",".738",".315","103","","0.2","","600.9","","2.19","-1.92","1.10","3086"
"Shed Long Jr.","BAL","31","123","111","26","5","1","4","13","13","10","34","1","2","1","",".231",".299",".388",".687",".299","86","","0.2","","999.0","","3.10","1.79","1.52","16542"
"Willi Castro","DET","37","145","133","33","6","2","3","17","15","7","34","2","3","1","",".251",".298",".389",".688",".296","86","","0.2","","580.2","","6.06","0.83","1.53","17338"
"Willians Astudillo","","17","54","52","13","2","0","2","5","6","1","3","1","0","0","",".251",".282",".383",".665",".286","81","","0.2","","600.6","","5.05","1.28","1.80","15608"
"Kurt Suzuki","LAA","46","174","156","36","7","0","5","17","20","10","29","5","0","0","",".234",".298",".368",".666",".289","81","","0.2","","598.8","","1.86","-0.51","1.27","8259"
"Owen Miller","CLE","40","157","145","36","7","1","3","16","16","10","38","1","1","0","",".248",".300",".373",".673",".293","84","","0.2","","600.3","","2.85","0.48","1.47","24655"
"Colton Welker","","57","199","182","48","10","1","5","24","25","15","44","2","1","0","",".266",".327",".416",".742",".320","86","","0.2","","599.8","","3.68","0.63","1.30","19961"
"Vimael Machín","","30","107","95","21","5","0","2","11","9","10","24","0","0","0","",".226",".300",".349",".650",".286","83","","0.2","","999.0","","3.91","0.56","1.56","17684"
"Lars Nootbaar","STL","78","269","239","59","9","1","8","31","29","25","57","2","4","2","",".248",".321",".398",".719",".312","95","","0.2","","584.1","","3.70","-0.50","1.07","21454"
"Curtis Terry","MIN","17","67","62","14","3","0","2","8","8","4","18","1","0","0","",".227",".290",".405",".694",".300","89","","0.2","","999.0","","5.94","1.69","1.67","18881"
"Geraldo Perdomo","ARI","18","71","63","15","3","1","1","8","6","7","16","1","1","0","",".236",".320",".346",".667",".296","81","","0.2","","598.7","","2.41","0.24","1.75","22799"
"Skye Bolt","OAK","23","75","66","14","3","0","2","8","7","7","21","1","1","0","",".216",".292",".359",".651",".286","83","","0.2","","999.0","","3.09","0.43","1.69","17723"
"Alcides Escobar","WSN","103","426","394","100","19","1","6","48","40","22","77","6","5","1","",".253",".301",".357",".657",".287","76","","0.2","","590.0","","4.91","0.57","0.75","6310"
"Ernie Clement","CLE","27","101","93","23","5","0","1","10","8","6","15","1","1","0","",".253",".304",".359",".663",".290","82","","0.2","","999.0","","2.96","-0.39","1.71","20352"
"Payton Henry","MIA","17","63","57","12","2","0","2","6","6","4","20","1","0","0","",".218",".286",".350",".636",".280","77","","0.2","","999.0","","1.98","0.96","1.72","22164"
"Jackie Bradley Jr.","BOS","85","325","290","63","15","2","8","38","31","27","88","6","5","2","",".216",".294",".358",".653",".286","75","","0.2","","589.5","","2.75","1.09","0.81","12984"
"Yairo Muñoz","","20","70","66","19","2","0","1","8","8","3","13","0","1","0","",".286",".319",".380",".699",".304","87","","0.2","","999.0","","5.12","0.87","1.83","16313"
"Tres Barrera","","23","86","77","17","4","0","2","8","9","7","20","2","0","0","",".223",".303",".333",".636",".283","74","","0.1","","999.0","","2.59","1.03","1.63","19977"
"Nick Allen","","38","151","138","32","7","1","2","14","12","9","32","1","3","1","",".232",".282",".334",".616",".269","72","","0.1","","999.0","","2.26","0.89","1.54","sa3004723"
"Danny Mendick","CHW","38","136","123","28","5","0","3","15","13","11","29","1","1","1","",".227",".298",".343",".641",".283","76","","0.1","","999.0","","3.70","0.91","1.44","18889"
"Renato Núñez","","23","86","78","19","4","0","4","10","11","6","22","1","0","0","",".238",".303",".438",".742",".318","101","","0.1","","599.6","","6.19","3.38","1.60","14503"
"Zack Short","","15","56","48","10","2","0","2","6","6","7","16","0","0","0","",".207",".301",".370",".672",".294","84","","0.1","","999.0","","2.76","0.89","1.71","19562"
"Derek Hill","DET","42","151","139","33","6","2","3","17","14","10","45","2","5","1","",".235",".291",".371",".662",".288","81","","0.1","","999.0","","4.67","0.36","1.53","16947"
"Jacob Nottingham","BAL","25","91","82","17","3","0","3","10","11","6","31","2","1","0","",".202",".274",".356",".629",".275","70","","0.1","","600.5","","3.45","1.48","1.52","16448"
"Jake Marisnick","","48","150","137","30","6","1","5","17","16","9","46","3","3","1","",".222",".283",".377",".660",".286","80","","0.1","","999.0","","3.68","-0.69","1.37","11339"
"Patrick Mazeika","","15","50","45","10","2","0","2","5","6","4","10","1","0","0","",".226",".292",".377",".669",".290","81","","0.1","","999.0","","2.81","1.28","1.76","18142"
"Emmanuel Rivera","KCR","25","94","87","22","5","0","3","11","11","6","20","1","1","0","",".253",".303",".416",".719",".310","94","","0.1","","999.0","","3.92","1.39","1.65","19890"
"Estevan Florial","","23","84","76","16","4","0","3","10","9","8","29","0","2","1","",".215",".290",".381",".671",".292","82","","0.1","","600.9","","3.59","0.79","1.63","19151"
"Stephen Vogt","OAK","56","195","175","37","8","1","6","18","21","17","47","1","0","0","",".214",".285",".373",".658",".282","81","","0.1","","600.4","","2.07","1.47","1.13","5000"
"Josh VanMeter","PIT","24","89","79","19","5","0","2","11","10","10","23","0","1","0","",".239",".326",".378",".704",".310","90","","0.1","","600.0","","8.04","0.01","1.62","15170"
"Daz Cameron","","31","118","107","24","5","1","3","14","12","9","33","2","4","1","",".229",".302",".383",".685",".299","88","","0.1","","600.3","","4.58","1.37","1.59","18353"
"Nomar Mazara","SDP","50","201","183","44","9","1","6","21","24","15","49","2","1","0","",".243",".306",".399",".704",".304","90","","0.1","","600.3","","4.86","0.11","1.20","14553"
"Corey Dickerson","STL","81","311","288","77","16","2","8","35","33","19","57","2","4","2","",".265",".315",".416",".731",".314","97","","0.1","","579.6","","3.57","-0.99","1.11","10762"
"José Godoy","MIN","12","40","37","9","2","0","0","4","4","3","10","0","0","0","",".244",".297",".345",".643",".282","77","","0.1","","999.0","","3.06","1.66","1.84","15808"
"TJ Friedl","","35","129","114","28","5","1","3","15","12","10","22","3","2","1","",".246",".317",".392",".709",".307","86","","0.1","","600.8","","5.30","-0.02","1.57","19522"
"Romy Gonzalez","","16","62","56","13","2","0","2","7","7","4","19","0","1","0","",".229",".289",".394",".683",".295","84","","0.1","","999.0","","4.27","2.11","1.74","21562"
"Josh Jung","TEX","13","54","49","12","3","0","2","6","7","4","13","1","0","0","",".254",".318",".418",".736",".317","102","","0.1","","545.5","","6.80","2.83","1.78","sa3011468"
"Matt Thaiss","","20","72","65","14","3","0","2","9","8","7","18","0","0","0","",".221",".303",".360",".663",".292","83","","0.1","","599.2","","4.28","2.21","1.63","19318"
"Isan Díaz","","24","83","73","15","3","0","2","9","8","9","23","1","0","0","",".211",".300",".353",".653",".287","82","","0.1","","600.5","","2.65","0.93","1.60","17922"
"Austin Romine","","23","78","73","17","3","0","2","8","9","4","23","0","0","0","",".232",".272",".346",".618",".269","68","","0.1","","999.0","","2.59","0.59","1.66","5491"
"Rodolfo Castro","","19","71","67","15","4","0","3","8","9","4","19","0","0","0","",".225",".271",".402",".673",".288","79","","0.1","","999.0","","5.41","1.67","1.65","21987"
"Jose Herrera","ARI","12","47","41","9","2","0","1","5","5","5","11","0","0","0","",".217",".298",".330",".627",".278","70","","0.1","","999.0","","2.37","1.17","1.78","sa830295"
"Tim Locastro","NYY","35","119","107","25","5","1","2","15","10","8","24","4","4","1","",".239",".310",".358",".668",".295","84","","0.1","","600.4","","2.22","0.99","1.66","15124"
"Elehuris Montero","","13","47","43","11","2","0","2","6","6","3","11","0","0","0","",".257",".316",".449",".765",".327","90","","0.1","","599.6","","5.33","3.81","1.81","sa872477"
"Ryan McKenna","BAL","21","73","64","15","3","0","2","9","7","8","22","1","1","0","",".227",".316",".385",".701",".307","92","","0.1","","999.0","","4.31","1.22","1.69","19928"
"Dustin Garneau","DET","11","41","36","7","2","0","1","4","4","3","11","1","0","0","",".206",".282",".376",".658",".283","77","","0.1","","999.0","","1.97","0.77","1.78","9433"
"Royce Lewis","","13","44","41","10","2","0","1","5","5","3","10","0","2","0","",".241",".292",".390",".682",".294","85","","0.1","","999.0","","2.58","3.22","1.84","sa3004259"
"José Peraza","NYY","17","59","54","14","2","0","1","6","6","3","9","1","1","0","",".253",".302",".380",".683",".296","85","","0.1","","600.8","","3.37","1.74","1.80","13593"
"Bryan Lavastida","CLE","7","25","23","6","1","0","1","3","3","2","5","0","1","0","",".248",".314",".386",".700",".304","91","","0.1","","999.0","","4.48","3.94","1.90","sa3006917"
"Danny Santana","","33","128","117","28","6","1","5","16","15","8","35","1","4","1","",".235",".292",".424",".716",".305","88","","0.1","","999.0","","3.72","2.69","1.51","10322"
"Marwin Gonzalez","","35","134","120","28","5","0","4","14","14","10","32","2","1","0","",".230",".297",".369",".666",".290","81","","0.1","","600.5","","2.80","0.47","1.46","5497"
"Alex Jackson","","14","48","43","8","2","0","2","5","6","3","20","1","0","0","",".186",".270",".347",".617",".271","72","","0.1","","999.0","","2.45","0.40","1.70","17276"
"Eric Thames","OAK","92","345","304","66","14","1","14","39","40","34","106","6","1","1","",".218",".308",".407",".715",".308","98","","0.1","","592.9","","3.49","0.99","0.53","3711"
"Jack Mayfield","LAA","29","111","102","23","5","0","4","12","13","6","25","1","1","1","",".226",".275",".382",".657",".283","77","","0.1","","600.9","","3.44","2.31","1.52","15402"
"Luke Maile","CLE","22","77","68","14","3","0","1","7","6","7","24","1","0","0","",".202",".280",".293",".573",".257","60","","0.1","","999.0","","1.77","-0.10","1.63","13355"
"Brian Goodwin","","44","166","148","34","8","1","5","19","19","16","45","1","2","1","",".231",".307",".393",".700",".304","90","","0.1","","600.6","","4.41","-1.12","1.30","12858"
"Donovan Walton","SEA","9","31","28","7","1","0","1","3","3","3","5","0","0","0","",".240",".311",".373",".684",".300","93","","0.1","","999.0","","3.86","2.81","1.87","19314"
"Harold Ramirez","TBR","42","168","157","43","9","1","4","18","20","8","30","2","1","0","",".273",".315",".418",".732",".315","98","","0.1","","590.2","","4.40","1.65","1.52","14387"
"Korey Lee","HOU","6","24","22","5","1","0","1","3","3","2","5","0","0","0","",".235",".288",".384",".672",".288","83","","0.1","","999.0","","3.62","3.89","1.89","sa3010034"
"Pablo Reyes","MIL","18","57","52","12","3","0","1","7","6","5","11","0","1","0","",".229",".292",".370",".662",".289","77","","0.1","","999.0","","2.96","1.10","1.77","16357"
"Connor Wong","","8","27","26","6","1","0","1","3","3","1","9","0","0","0","",".241",".279",".404",".684",".293","80","","0.1","","999.0","","3.13","3.48","1.88","19896"
"Ehire Adrianza","WSN","61","193","171","42","9","1","4","22","19","17","39","2","1","1","",".244",".316",".370",".686",".301","85","","0.1","","999.0","","1.83","-1.52","1.27","8418"
"Drew Ellis","","32","121","107","23","5","0","4","14","13","11","36","2","0","0","",".212",".298",".368",".666",".293","79","","0.1","","999.0","","3.88","0.58","1.37","19873"
"Mario Feliciano","","7","25","23","5","1","0","1","3","3","1","7","0","0","0","",".231",".275",".422",".698",".297","83","","0.1","","999.0","","2.97","2.55","1.88","20263"
"Brett Cumberland","BAL","8","30","26","5","1","0","1","3","3","3","10","1","0","0","",".192",".293",".343",".635",".282","75","","0.1","","999.0","","1.81","2.64","1.83","sa915611"
"Yadiel Hernandez","WSN","90","325","292","74","12","1","11","38","39","27","76","1","3","1","",".255",".316",".417",".733",".314","94","","0.1","","594.4","","5.89","0.62","0.82","19334"
"Charlie Culberson","","43","141","130","31","6","1","3","15","14","8","37","1","3","1","",".237",".286",".368",".654",".284","79","","0.1","","597.2","","1.70","-0.46","1.52","3298"
"Eli White","TEX","39","151","135","29","6","1","4","17","13","12","44","2","3","1","",".215",".289",".348",".637",".280","77","","0.1","","600.3","","3.06","1.52","1.40","19346"
"Jason Vosler","SFG","12","38","34","8","2","0","1","4","4","3","9","0","0","0","",".222",".293",".395",".688",".297","86","","0.1","","999.0","","3.17","2.34","1.81","16686"
"Oswaldo Cabrera","","9","32","29","7","2","0","1","4","4","2","8","0","1","0","",".234",".282",".389",".671",".289","80","","0.1","","999.0","","5.73","3.40","1.86","sa916954"
"Tyler Nevin","BAL","23","83","75","17","4","0","3","9","9","7","19","1","0","0","",".231",".299",".386",".686",".299","86","","0.1","","999.0","","3.36","2.99","1.65","17893"
"Gilberto Celestino","","14","51","47","11","3","0","1","6","5","4","12","0","0","0","",".241",".302",".384",".687",".298","88","","0.1","","999.0","","3.27","1.42","1.79","20233"
"Rylan Bannon","","19","74","67","14","3","0","2","8","8","7","18","0","1","0","",".217",".290",".359",".649",".284","76","","0.1","","600.3","","4.31","0.52","1.66","sa3004162"
"Chance Sisco","","17","52","45","9","1","0","1","5","6","6","16","1","0","0","",".200",".303",".296",".599",".273","75","","0.1","","999.0","","2.58","1.44","1.71","15694"
"Aaron Altherr","","19","69","61","14","3","0","2","8","7","6","20","1","1","0","",".224",".307",".392",".699",".304","90","","0.1","","999.0","","0.26","-0.53","1.68","11270"
"Michael Stefanic","LAA","8","29","27","7","1","0","1","3","3","2","5","0","0","0","",".261",".322",".373",".694",".304","91","","0.1","","999.0","","3.98","4.65","1.90","sa3008479"
