"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Nick Castellanos","PHI","146","629","571","162","34","3","32","90","95","46","140","6","3","1","",".284",".342",".525",".867",".365","127","","3.1","","57.4","11737"
"Brandon Crawford","SFG","130","531","466","123","26","2","20","68","67","49","110","5","6","2","",".264",".337",".457",".794",".338","114","","3.1","","224.8","5343"
"Jesse Winker","SEA","135","559","482","129","24","1","23","73","71","65","100","9","1","1","",".267",".363",".466",".829",".357","132","","3.1","","120.3","13590"
"Christian Yelich","MIL","137","582","494","135","26","2","22","84","71","79","132","6","15","4","",".273",".378",".467",".844",".363","125","","3.1","","98.7","11477"
"Cody Bellinger","LAD","141","570","498","123","25","3","27","81","81","64","128","3","9","3","",".247",".334",".472",".806",".341","115","","3.0","","113.1","15998"
"Willy Adames","MIL","144","596","532","136","26","2","26","78","79","56","163","3","6","2","",".255",".328",".458",".786",".336","108","","3.0","","124.9","15986"
"Starling Marte","NYM","135","591","535","147","26","3","15","83","61","39","112","13","33","6","",".275",".338",".418",".756",".328","111","","3.0","","31.8","9241"
"Tyler O'Neill","STL","139","546","491","124","24","2","32","79","79","43","168","7","12","2","",".253",".320",".501",".821",".347","120","","2.9","","46.9","15711"
"Mike Zunino","TBR","102","369","328","68","12","1","24","46","61","32","133","6","0","0","",".207",".288",".468",".756",".321","109","","2.9","","258.0","13265"
"Dansby Swanson","ATL","152","629","566","143","29","2","25","84","77","52","156","5","9","3","",".253",".319",".444",".763",".325","100","","2.9","","122.4","18314"
"Tyler Stephenson","CIN","131","484","429","115","24","1","14","58","55","43","102","7","1","0","",".267",".341",".422",".762",".331","101","","2.8","","136.5","17988"
"Randy Arozarena","TBR","142","597","526","135","27","3","22","81","71","53","158","14","18","7","",".256",".339",".445",".784",".337","120","","2.8","","66.6","19290"
"Mitch Haniger","SEA","138","617","544","136","25","2","31","81","85","58","150","10","3","1","",".249",".331",".472",".803",".343","123","","2.7","","108.7","14274"
"Jeimer Candelario","DET","144","607","533","133","32","3","17","70","67","62","134","7","1","0","",".250",".333",".419",".753",".326","107","","2.7","","245.0","13621"
"Kyle Schwarber","PHI","137","578","492","120","20","2","36","86","90","76","160","7","3","1","",".243",".350",".512",".862",".365","127","","2.7","","108.0","16478"
"Eugenio Suárez","SEA","126","515","448","100","16","1","28","65","73","56","150","7","2","1","",".223",".317",".450",".767",".329","113","","2.7","","209.4","12552"
"Rhys Hoskins","PHI","135","584","496","120","25","2","33","84","85","74","138","9","4","1","",".243",".349",".497",".846",".360","124","","2.7","","119.6","16472"
"Willson Contreras","CHC","129","523","454","114","20","2","24","69","67","53","141","13","5","2","",".251",".344",".461",".804",".346","115","","2.7","","109.9","11609"
"Mitch Garver","TEX","107","415","363","85","16","1","22","54","57","44","121","5","2","1","",".233",".322",".464",".786",".336","114","","2.7","","155.9","15161"
"Cedric Mullins","BAL","148","636","569","145","31","5","23","85","68","52","121","6","24","5","",".255",".322",".446",".768",".328","106","","2.6","","33.6","17929"
"Kolten Wong","MIL","130","553","489","131","26","4","14","72","57","44","89","14","14","4","",".269",".344",".420",".764",".331","105","","2.6","","196.2","12532"
"Anthony Rizzo","NYY","136","574","488","124","22","2","24","76","70","61","87","21","6","2","",".254",".358",".454",".812",".350","123","","2.6","","186.8","3473"
