"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Yu Chang","CLE","60","218","198","44","10","1","6","23","23","16","63","2","2","1","",".220",".284",".380",".663",".287","80","","0.2","","597.2","14773"
"Geraldo Perdomo","ARI","18","71","63","15","3","1","1","8","6","7","15","1","2","0","",".243",".324",".357",".681",".300","84","","0.2","","598.7","22799"
"Jake Marisnick","","48","150","137","30","6","1","5","18","16","10","47","3","3","1","",".220",".283",".390",".673",".291","84","","0.2","","999.0","11339"
"Daz Cameron","","31","118","107","24","5","1","3","14","11","9","33","2","3","1","",".228",".298",".377",".675",".294","84","","0.2","","600.3","18353"
"Owen Miller","CLE","40","157","144","36","8","1","3","16","15","10","36","1","1","0","",".251",".304",".373",".678",".295","85","","0.2","","600.3","24655"
"Connor Joe","COL","94","371","325","83","19","1","12","48","42","39","80","5","1","0","",".256",".341",".430",".771",".335","95","","0.2","","349.2","16572"
"Eli White","TEX","39","151","136","30","6","1","3","17","13","12","44","2","3","1","",".220",".292",".351",".643",".283","78","","0.2","","600.3","19346"
"Ehire Adrianza","WSN","61","193","172","41","9","1","4","21","19","17","39","2","1","0","",".241",".312",".371",".683",".299","84","","0.2","","999.0","8418"
"Rafael Ortega","CHC","111","432","388","93","19","2","10","48","40","38","88","2","9","3","",".241",".311",".378",".689",".301","85","","0.2","","394.5","10323"
"Eric Haase","DET","88","334","303","64","13","2","15","38","43","26","113","3","1","0","",".211",".277",".418",".696",".298","87","","0.2","","319.5","14111"
"Jake Rogers","DET","18","70","62","13","3","0","2","7","8","6","23","1","0","0","",".204",".285",".378",".663",".288","81","","0.2","","600.8","19452"
"Brennen Davis","CHC","48","193","173","41","8","1","7","22","22","15","56","3","2","1","",".237",".309",".407",".716",".310","91","","0.2","","999.0","sa3007876"
"Cole Tucker","PIT","81","307","275","63","13","2","5","32","26","27","72","2","6","2","",".228",".300",".346",".646",".284","77","","0.2","","589.0","17326"
"Sergio Alcántara","ARI","45","162","145","34","6","1","2","17","14","15","39","1","2","1","",".233",".307",".339",".646",".285","74","","0.2","","600.4","16417"
"Gavin Sheets","CHW","110","418","376","89","17","1","16","48","50","36","97","4","1","0","",".236",".306",".408",".714",".309","96","","0.2","","538.7","19901"
"Richie Palacios","","16","60","54","14","3","0","1","7","6","5","12","1","1","0","",".253",".322",".390",".712",".310","95","","0.2","","600.8","sa3006908"
"Jake Burger","","26","95","87","20","4","0","3","10","11","6","25","1","0","0","",".232",".291",".393",".684",".295","86","","0.2","","597.4","22275"
"Aristides Aquino","CIN","81","289","260","58","11","1","15","37","39","25","91","3","4","1","",".222",".296",".448",".744",".316","92","","0.2","","590.9","15482"
"Christian Arroyo","BOS","44","166","152","38","8","0","5","20","19","10","40","3","1","0","",".248",".306",".407",".713",".308","90","","0.2","","597.6","16434"
"Willi Castro","DET","37","145","134","33","6","1","3","16","13","8","35","2","3","1","",".244",".295",".376",".670",".290","82","","0.2","","580.2","17338"
"Dustin Garneau","DET","11","41","37","7","2","0","1","4","5","3","11","1","0","0","",".203",".277",".372",".649",".283","77","","0.2","","999.0","9433"
"Jake McCarthy","ARI","78","292","264","62","13","3","6","35","27","22","80","4","10","2","",".233",".298",".372",".670",".292","79","","0.2","","601.0","21622"
"Heliot Ramos","","23","93","84","21","4","0","2","11","9","6","27","1","1","0","",".245",".306",".385",".691",".299","89","","0.2","","999.0","sa3004693"
"Seth Beer","ARI","103","374","331","83","19","1","12","43","46","26","85","14","1","0","",".250",".329",".419",".748",".324","100","","0.2","","556.4","20493"
"Josh VanMeter","PIT","24","89","78","18","4","0","3","10","10","10","22","1","1","0","",".225",".312",".391",".704",".306","91","","0.2","","600.0","15170"
"Seby Zavala","CHW","34","125","114","22","4","0","4","12","14","9","47","1","0","0","",".193",".259",".348",".607",".265","66","","0.2","","598.5","18887"
"Hanser Alberto","LAD","38","141","134","35","7","0","2","15","15","4","18","1","1","0","",".262",".290",".370",".660",".285","79","","0.2","","600.5","11902"
"Jordy Mercer","","24","85","77","19","4","0","2","9","9","6","19","1","0","0","",".243",".302",".379",".680",".295","84","","0.2","","999.0","6547"
"Eric Thames","OAK","92","345","299","63","14","1","13","38","39","37","109","6","3","1","",".210",".307",".398",".705",".306","97","","0.2","","592.9","3711"
"Estevan Florial","","23","84","75","16","3","0","3","10","8","8","29","0","1","1","",".212",".289",".367",".656",".286","80","","0.2","","600.9","19151"
"Travis Swaggerty","","39","160","143","32","7","1","3","17","15","14","43","1","3","1","",".225",".299",".356",".656",".287","79","","0.2","","598.4","sa3007512"
"Harold Ramirez","TBR","42","168","156","41","8","1","4","18","19","8","31","3","1","1","",".266",".312",".397",".709",".306","98","","0.2","","590.2","14387"
"Jackie Bradley Jr.","BOS","85","325","289","62","14","2","8","37","31","28","90","6","4","2","",".215",".297",".356",".653",".287","76","","0.2","","589.5","12984"
"Corey Dickerson","STL","81","311","286","76","16","2","7","36","32","20","56","2","4","1","",".265",".315",".408",".723",".310","97","","0.2","","579.6","10762"
"Bobby Bradley","CLE","104","420","374","80","17","1","21","49","59","38","147","5","1","0","",".215",".294",".432",".726",".310","95","","0.2","","528.8","17278"
"Travis Jankowski","","24","77","68","16","2","0","0","9","5","8","16","1","3","1","",".241",".326",".308",".633",".284","82","","0.2","","999.0","13768"
"Brent Rooker","MIN","55","220","195","43","10","1","9","26","26","20","73","4","1","0","",".222",".305",".409",".714",".309","95","","0.2","","599.8","19627"
"Triston Casas","BOS","43","177","156","37","9","1","6","22","20","18","42","2","1","0","",".239",".322",".410",".733",".317","96","","0.2","","549.2","sa3007634"
"Curtis Terry","MIN","17","67","62","14","3","0","2","7","8","4","18","1","0","0","",".229",".291",".394",".685",".296","86","","0.2","","999.0","18881"
"Patrick Mazeika","","15","50","45","10","2","0","1","5","5","4","10","1","0","0","",".223",".293",".348",".641",".281","80","","0.1","","999.0","18142"
"Willians Astudillo","","17","54","51","13","2","0","1","5","6","2","4","1","0","0","",".251",".286",".368",".654",".282","78","","0.1","","600.6","15608"
"Marwin Gonzalez","","35","134","120","27","5","0","3","14","13","10","32","2","1","0","",".226",".296",".355",".651",".285","80","","0.1","","600.5","5497"
"Payton Henry","MIA","17","63","57","12","2","0","1","6","6","4","22","1","0","0","",".209",".274",".329",".603",".265","67","","0.1","","999.0","22164"
"Roman Quinn","","20","70","62","13","2","1","1","8","5","5","21","1","4","1","",".216",".287",".328",".615",".271","71","","0.1","","999.0","13546"
"Nick Allen","","38","151","138","32","7","1","2","14","11","9","31","1","3","1","",".230",".284",".328",".611",".268","71","","0.1","","999.0","sa3004723"
"Royce Lewis","","13","44","41","10","2","0","1","5","5","3","10","0","1","0","",".242",".298",".399",".696",".299","88","","0.1","","999.0","sa3004259"
"José Peraza","NYY","17","59","54","13","2","0","1","6","6","3","9","1","1","0","",".248",".296",".371",".668",".290","83","","0.1","","600.8","13593"
"William Contreras","ATL","15","53","49","12","2","0","2","6","6","4","14","0","0","0","",".242",".302",".398",".700",".302","85","","0.1","","595.1","20503"
"Anthony Alford","PIT","98","362","323","71","15","2","10","42","35","31","126","6","13","3","",".220",".298",".367",".665",".290","81","","0.1","","575.1","14329"
"Tres Barrera","","23","86","78","17","3","0","2","8","8","7","20","1","0","0","",".221",".290",".335",".624",".275","68","","0.1","","999.0","19977"
"Orlando Arcia","ATL","33","119","110","27","5","0","3","14","12","8","21","0","2","1","",".248",".299",".382",".681",".294","80","","0.1","","600.8","13185"
"Chance Sisco","","17","52","45","9","2","0","1","5","5","5","16","2","0","0","",".200",".297",".322",".619",".278","78","","0.1","","999.0","15694"
"Colton Welker","","57","199","181","49","11","1","5","23","23","14","42","2","1","0","",".269",".325",".422",".747",".320","86","","0.1","","599.8","19961"
"Matt Thaiss","","20","72","64","14","3","0","2","8","8","7","17","1","0","0","",".222",".304",".370",".674",".295","85","","0.1","","599.2","19318"
"Zack Short","","15","56","49","10","2","0","2","6","6","6","16","1","0","0","",".204",".302",".363",".665",".292","84","","0.1","","999.0","19562"
"Romy Gonzalez","","16","62","56","13","3","0","2","7","6","5","19","1","1","0","",".228",".293",".378",".671",".291","83","","0.1","","999.0","21562"
"Gilberto Celestino","","14","51","47","11","3","0","1","6","5","4","11","0","1","0","",".245",".304",".373",".677",".294","85","","0.1","","999.0","20233"
"Sandy León","","46","157","142","29","5","0","4","14","16","11","44","2","0","0","",".201",".268",".331",".599",".263","64","","0.1","","999.0","5273"
"Matt Carpenter","","41","139","117","24","6","0","4","15","14","18","40","2","1","0","",".204",".320",".366",".687",".303","92","","0.1","","598.8","8090"
"Tyler Wade","LAA","83","247","222","48","9","1","3","28","17","20","65","2","12","3","",".216",".287",".314",".601",".266","66","","0.1","","512.0","15730"
"Renato Núñez","","23","86","78","19","4","0","3","10","11","6","21","1","0","0","",".238",".303",".429",".732",".314","98","","0.1","","599.6","14503"
"Isan Díaz","","24","83","73","15","3","0","2","9","8","8","23","1","1","0","",".212",".300",".357",".657",".287","82","","0.1","","600.5","17922"
"TJ Friedl","","35","129","115","28","6","1","3","15","12","10","25","3","2","1","",".240",".314",".369",".683",".299","80","","0.1","","600.8","19522"
"Cooper Hummel","ARI","34","134","116","27","6","1","3","15","14","15","32","2","1","0","",".235",".329",".379",".709",".312","92","","0.1","","999.0","sa918412"
"José Godoy","MIN","12","40","37","8","2","0","1","4","3","3","8","1","0","0","",".227",".288",".322",".611",".270","68","","0.1","","999.0","15808"
"Rylan Bannon","","19","74","66","15","3","0","2","8","7","7","18","1","1","0","",".220",".298",".365",".663",".290","80","","0.1","","600.3","sa3004162"
"Keston Hiura","MIL","78","300","268","62","13","1","11","37","36","23","99","7","4","1","",".232",".307",".414",".721",".311","92","","0.1","","403.9","20003"
"Shed Long Jr.","BAL","31","123","111","25","5","1","3","13","12","10","33","1","2","0","",".223",".291",".362",".653",".285","77","","0.1","","999.0","16542"
"Aramis Garcia","CIN","19","64","59","13","3","0","2","6","7","4","20","1","0","0","",".214",".266",".361",".627",".272","63","","0.1","","600.8","16925"
"Daniel Robertson","MIN","23","63","55","12","2","0","1","7","5","6","16","1","0","0","",".221",".316",".332",".648",".290","82","","0.1","","999.0","14145"
"Joe Panik","","38","136","122","29","6","0","2","13","12","11","19","1","1","0","",".237",".305",".339",".644",".283","76","","0.1","","999.0","11936"
"Lewis Brinson","","25","94","87","20","4","0","3","11","10","6","24","1","1","0","",".227",".281",".385",".666",".287","83","","0.1","","601.0","14352"
"Jose Trevino","NYY","50","184","172","38","7","0","4","16","17","9","36","1","1","0","",".222",".261",".328",".589",".256","60","","0.1","","599.4","16725"
"Austin Romine","","23","78","72","16","3","0","2","7","8","4","22","1","0","0","",".221",".267",".344",".612",".266","66","","0.1","","999.0","5491"
"Rodolfo Castro","","19","71","65","15","3","0","2","7","8","4","19","1","1","0","",".231",".284",".397",".681",".291","81","","0.1","","999.0","21987"
"Ernie Clement","CLE","27","101","93","24","5","0","1","10","9","6","14","1","2","1","",".252",".301",".341",".641",".281","76","","0.1","","999.0","20352"
"Yermín Mercedes","CHW","7","23","21","5","1","0","1","3","3","2","4","0","0","0","",".256",".313",".421",".734",".315","100","","0.1","","599.3","17423"
"Matt Joyce","PHI","27","82","70","16","4","0","2","9","9","10","18","0","0","0","",".235",".336",".391",".727",".318","100","","0.1","","999.0","3353"
"Michael Perez","PIT","54","192","173","35","8","0","5","18","20","16","53","2","1","0","",".204",".276",".343",".619",".271","68","","0.1","","600.9","12977"
"Nomar Mazara","SDP","50","201","181","44","9","1","6","22","22","16","46","2","1","0","",".240",".308",".387",".695",".301","90","","0.1","","600.3","14553"
"Matt Beaty","SDP","75","236","213","53","11","1","6","26","25","17","45","5","2","1","",".247",".316",".386",".703",".306","94","","0.1","","587.9","17710"
"Garrett Stubbs","PHI","27","96","84","18","4","0","1","10","8","9","21","1","1","0","",".212",".295",".316",".611",".272","67","","0.1","","600.8","18067"
"José Devers","MIA","18","50","46","12","2","0","1","5","4","3","9","1","1","0","",".253",".309",".356",".666",".291","84","","0.1","","999.0","20540"
"Alex Jackson","","14","48","44","8","2","0","2","5","6","3","19","1","0","0","",".188",".264",".360",".624",".271","71","","0.1","","999.0","17276"
"Yairo Muñoz","","20","70","65","17","3","0","1","8","7","4","13","1","2","0","",".255",".297",".380",".676",".292","80","","0.1","","999.0","16313"
"Elehuris Montero","","13","47","43","11","3","0","2","6","6","3","11","0","0","0","",".257",".313",".432",".745",".319","86","","0.1","","599.6","sa872477"
"Dexter Fowler","","28","104","90","20","4","1","3","12","10","12","27","1","1","0","",".217",".315",".368",".683",".301","86","","0.1","","999.0","4062"
"Jack Mayfield","LAA","29","111","102","22","5","0","3","11","12","7","26","1","1","0","",".218",".270",".369",".639",".275","72","","0.1","","600.9","15402"
"Miguel Andújar","NYY","26","99","92","23","5","0","3","11","12","5","17","1","0","0","",".253",".298",".418",".716",".306","94","","0.1","","598.0","15878"
"Jeter Downs","","12","38","34","8","2","0","1","5","4","3","10","0","1","0","",".223",".290",".389",".680",".293","80","","0.1","","600.2","sa3004615"
"Mickey Moniak","PHI","22","71","65","15","3","0","2","8","7","5","20","0","1","0","",".225",".279",".372",".651",".279","71","","0.1","","599.7","19956"
"Vimael Machín","","30","107","95","21","4","0","1","9","8","10","23","1","0","0","",".222",".299",".315",".615",".272","74","","0.1","","999.0","17684"
"Donovan Walton","SEA","9","31","28","6","1","0","1","3","3","3","5","0","0","0","",".230",".304",".338",".642",".284","82","","0.1","","999.0","19314"
"Michael Chavis","PIT","96","370","340","81","16","2","12","41","44","23","109","6","3","1","",".237",".294",".404",".699",".301","88","","0.1","","584.6","17321"
"Mario Feliciano","","7","25","23","5","1","0","1","3","3","1","7","0","0","0","",".233",".284",".391",".674",".290","78","","0.1","","600.8","20263"
"Pablo Reyes","MIL","18","57","52","12","3","0","1","6","6","4","11","0","1","0","",".230",".290",".363",".654",".284","74","","0.1","","999.0","16357"
"Brett Cumberland","BAL","8","30","26","5","1","0","1","3","3","3","10","1","0","0","",".193",".299",".344",".643",".286","78","","0.1","","999.0","sa915611"
"Alejo Lopez","","13","43","39","11","2","0","0","5","4","3","6","1","0","0","",".271",".329",".367",".695",".304","84","","0.1","","999.0","21127"
"Rafael Marchan","","13","46","42","10","2","0","0","5","4","3","8","0","0","0","",".242",".297",".331",".628",".276","69","","0.1","","999.0","21646"
"Ryan McKenna","BAL","21","73","65","15","3","0","2","8","7","7","21","1","1","0","",".232",".313",".367",".681",".299","86","","0.1","","999.0","19928"
"Chris Owings","","17","59","54","12","2","0","2","6","6","4","17","0","1","0","",".221",".282",".362",".644",".280","73","","0.1","","600.9","10030"
"Oswald Peraza","","5","21","20","5","1","0","0","2","2","1","5","0","1","0","",".251",".302",".380",".682",".296","87","","0.1","","600.0","sa3003305"
"Connor Wong","","8","27","25","6","1","0","1","3","3","2","9","0","0","0","",".225",".276",".390",".666",".287","75","","0.1","","999.0","19896"
"Danny Mendick","CHW","38","136","123","28","5","0","2","14","12","10","29","1","1","1","",".224",".289",".330",".619",".273","72","","0.1","","999.0","18889"
"Eric Sogard","","30","104","94","22","4","0","1","10","9","8","17","1","1","0","",".238",".301",".334",".635",".278","73","","0.1","","999.0","7927"
"Ryan McBroom","","15","34","31","7","1","0","1","3","4","2","9","0","0","0","",".231",".293",".387",".680",".294","83","","0.1","","999.0","16524"
"Korey Lee","HOU","6","24","22","5","1","0","1","3","2","2","5","0","0","0","",".240",".301",".369",".670",".289","84","","0.1","","999.0","sa3010034"
"Juan Yepez","","34","136","124","30","7","0","4","16","16","10","31","1","1","0","",".244",".306",".412",".718",".308","95","","0.1","","570.4","sa877505"
"Otto Lopez","","13","41","37","10","2","0","1","5","4","3","7","0","1","0","",".260",".310",".363",".674",".292","80","","0.1","","999.0","19608"
"Eguy Rosario","SDP","8","25","23","6","1","0","0","3","2","2","6","0","1","0","",".243",".298",".368",".666",".289","82","","0.1","","999.0","sa917140"
"Nick Maton","PHI","18","64","57","12","3","0","1","7","6","6","17","1","1","0","",".219",".298",".346",".643",".283","74","","0.1","","999.0","21635"
"Willie Calhoun","TEX","109","423","382","92","19","1","12","46","44","34","58","4","2","1","",".240",".307",".389",".696",".302","91","","0.1","","488.4","17838"
"Josh Jung","TEX","13","54","49","12","3","0","2","6","6","4","13","1","0","0","",".252",".312",".404",".716",".308","96","","0.1","","545.5","sa3011468"
"Christin Stewart","BOS","15","53","47","11","3","0","2","6","7","5","15","1","0","0","",".226",".306",".412",".718",".308","90","","0.1","","999.0","17714"
"Ali Sánchez","","11","37","35","8","2","0","1","4","3","2","7","0","0","0","",".241",".288",".338",".626",".273","72","","0.0","","999.0","18551"
"Max Moroff","","9","30","26","5","1","0","1","3","3","3","9","0","0","0","",".207",".303",".359",".662",".291","84","","0.0","","999.0","14556"
"René Pinto","","5","18","17","4","1","0","0","2","2","1","6","0","0","0","",".222",".272",".359",".631",".274","77","","0.0","","999.0","sa826668"
"Oswaldo Cabrera","","9","32","29","7","2","0","1","4","3","2","8","0","0","0","",".233",".285",".385",".669",".288","82","","0.0","","999.0","sa916954"
"Steven Souza Jr.","","14","46","40","8","2","0","2","5","5","5","15","1","1","0","",".208",".307",".370",".677",".298","92","","0.0","","999.0","5667"
"Jordan Groshans","TOR","5","18","17","4","1","0","0","2","2","1","4","0","0","0","",".244",".304",".382",".686",".298","84","","0.0","","600.8","sa3006893"
"Travis Shaw","","30","113","99","22","5","0","4","14","14","12","29","1","0","0","",".223",".314",".411",".725",".314","94","","0.0","","600.8","11982"
"Max Schrock","CIN","39","135","123","31","6","0","3","15","14","9","23","1","2","1","",".253",".309",".384",".693",".301","81","","0.0","","600.5","17750"
"Brendan Donovan","","5","18","16","4","1","0","0","2","2","2","4","0","0","0","",".243",".315",".369",".684",".299","89","","0.0","","600.5","sa3006675"
"Abraham Almonte","","9","28","24","6","1","0","1","3","3","3","6","0","0","0","",".234",".326",".398",".724",".316","95","","0.0","","999.0","5486"
"Albert Almora Jr.","","14","38","36","9","2","0","1","4","4","2","7","0","0","0","",".251",".296",".383",".679",".292","76","","0.0","","999.0","14109"
"Anthony Bemboom","BAL","13","47","41","8","2","0","1","4","4","4","12","0","0","0","",".198",".275",".318",".593",".262","62","","0.0","","999.0","13854"
"Jahmai Jones","","20","74","67","15","3","0","2","8","7","6","19","1","1","0","",".223",".291",".345",".636",".279","73","","0.0","","601.0","18872"
"Andrew Young","WSN","11","22","20","4","1","0","1","3","3","1","7","1","0","0","",".220",".296",".399",".696",".302","86","","0.0","","999.0","19521"
"Jonathan Araúz","BOS","6","23","21","5","1","0","1","3","2","2","5","0","0","0","",".232",".298",".373",".671",".292","79","","0.0","","999.0","20275"
"Chad Wallach","LAA","13","41","36","7","1","0","1","4","4","4","13","1","0","0","",".195",".275",".328",".603",".266","66","","0.0","","999.0","17161"
"José Rondón","","12","38","35","8","1","0","1","4","4","2","9","0","0","0","",".226",".281",".371",".652",".282","79","","0.0","","999.0","14140"
"Michael Stefanic","LAA","8","29","27","7","1","0","0","3","3","2","5","0","0","0","",".255",".316",".355",".671",".293","84","","0.0","","999.0","sa3008479"
"Mark Vientos","","4","15","14","3","1","0","1","2","2","1","5","0","0","0","",".235",".292",".409",".701",".299","91","","0.0","","999.0","sa3004720"
"Wilmer Difo","ARI","34","112","102","25","4","1","2","12","10","8","24","1","2","0","",".245",".303",".355",".657",".287","75","","0.0","","999.0","14320"
"Ender Inciarte","NYY","13","42","38","9","1","0","1","4","3","4","9","0","1","0","",".228",".298",".326",".624",".276","73","","0.0","","600.0","4922"
"Esteban Quiroz","CHC","4","14","12","3","1","0","0","1","1","1","4","0","0","0","",".222",".315",".372",".686",".302","86","","0.0","","999.0","sa596560"
"Stuart Fairchild","","5","16","14","3","1","0","0","2","2","1","4","0","0","0","",".233",".301",".375",".675",".294","80","","0.0","","999.0","20321"
"Khalil Lee","","15","50","43","9","2","0","1","6","4","5","17","1","1","0","",".214",".314",".340",".654",".292","87","","0.0","","596.7","19952"
"Taylor Trammell","","19","72","64","13","3","0","2","8","7","7","23","1","1","0","",".205",".291",".348",".639",".282","81","","0.0","","600.9","19960"
"Jose Lobaton","","5","17","16","3","1","0","0","2","2","1","5","0","0","0","",".208",".281",".330",".611",".269","67","","0.0","","999.0","4243"
"Skye Bolt","OAK","23","75","67","13","3","0","1","7","6","7","23","1","1","0","",".200",".276",".323",".599",".264","69","","0.0","","999.0","17723"
"Tucupita Marcano","","11","37","33","8","2","0","0","4","3","3","5","0","1","0","",".246",".308",".339",".647",".285","77","","0.0","","600.6","22871"
"Evan White","SEA","22","86","78","18","3","0","3","9","10","7","24","1","1","0","",".228",".292",".394",".686",".296","91","","0.0","","600.9","20078"
"Tony Wolters","LAD","6","21","18","4","1","0","0","2","2","2","5","0","0","0","",".219",".300",".311",".611",".272","71","","0.0","","999.0","11470"
"P.J. Higgins","CHC","6","17","16","4","1","0","0","2","2","1","4","0","0","0","",".225",".293",".328",".621",".275","68","","0.0","","999.0","18433"
"Rob Brantly","NYY","8","27","25","5","1","0","0","3","3","2","5","1","0","0","",".218",".282",".322",".604",".266","66","","0.0","","999.0","10655"
"Jason Vosler","SFG","12","38","34","7","2","0","1","4","4","3","10","1","0","0","",".213",".287",".361",".648",".283","78","","0.0","","999.0","16686"
"Andrew Velazquez","","31","111","101","21","4","1","2","12","9","8","35","1","4","1","",".207",".267",".323",".590",".259","61","","0.0","","600.9","14196"
"Drew Waters","","7","30","28","7","2","0","1","4","3","2","10","0","1","0","",".237",".295",".373",".668",".290","77","","0.0","","600.3","sa3004378"
"Jarrod Dyson","","40","115","104","22","4","1","1","13","7","9","24","1","7","1","",".214",".282",".288",".570",".255","57","","0.0","","999.0","4866"
"Lars Nootbaar","STL","78","269","240","59","10","1","7","31","28","25","54","2","3","1","",".245",".317",".390",".707",".305","93","","0.0","","584.1","21454"
"Webster Rivas","SDP","8","28","25","6","1","0","0","3","3","2","7","0","0","0","",".220",".284",".320",".604",".266","67","","0.0","","999.0","14636"
"Sam Huff","","4","14","13","3","1","0","1","1","2","1","5","0","0","0","",".215",".272",".399",".671",".287","81","","0.0","","599.0","22209"
"Kody Clemens","","11","41","38","8","2","0","1","4","4","3","11","0","0","0","",".216",".280",".362",".642",".279","74","","0.0","","999.0","sa3008002"
"Luke Williams","SFG","23","74","68","15","3","0","1","8","6","5","18","1","2","0","",".226",".287",".335",".622",".273","72","","0.0","","999.0","19931"
"Yolbert Sanchez","CHW","4","13","12","3","1","0","0","1","1","1","2","0","0","0","",".262",".307",".369",".675",".291","84","","0.0","","999.0","sa3011471"
"Kevin Padlo","","7","19","16","3","1","0","1","2","2","2","6","0","0","0","",".194",".280",".359",".639",".279","79","","0.0","","600.3","16593"
"Ronald Guzmán","","12","37","32","7","1","0","1","4","4","3","10","0","0","0","",".225",".307",".396",".703",".305","93","","0.0","","999.0","14388"
"Phil Gosselin","","18","73","66","17","3","0","1","8","7","5","16","0","1","0","",".253",".307",".374",".681",".296","81","","0.0","","597.7","10953"
"Aaron Altherr","","19","69","61","13","3","0","2","8","7","6","20","1","1","0","",".217",".303",".371",".674",".296","85","","0.0","","999.0","11270"
"Pedro Leon","HOU","4","13","12","3","0","0","0","2","1","1","4","0","0","0","",".213",".289",".341",".630",".276","75","","0.0","","999.0","sa3014838"
"Ryan Kreidler","DET","3","12","11","2","0","0","0","1","1","1","3","0","0","0","",".226",".288",".363",".651",".283","77","","0.0","","999.0","sa3010587"
"Juan Lagares","","37","127","118","29","6","1","3","14","12","7","30","1","2","1","",".244",".293",".376",".669",".289","80","","0.0","","999.0","5384"
"Chadwick Tromp","","6","16","15","3","1","0","0","2","2","1","4","0","0","0","",".219",".268",".353",".621",".270","64","","0.0","","999.0","16953"
"Kyle Garlick","MIN","24","72","66","15","4","0","3","8","9","5","23","1","0","0","",".225",".287",".412",".698",".300","89","","0.0","","999.0","18063"
"Greg Cullen","BAL","3","10","9","2","0","0","0","1","1","1","2","0","0","0","",".229",".316",".356",".673",".297","85","","0.0","","999.0","sa3007069"
"Jedd Gyorko","","5","14","12","3","0","0","1","2","2","1","3","0","0","0","",".240",".315",".439",".754",".323","100","","0.0","","999.0","10816"
"Taylor Davis","","9","29","26","6","1","0","0","2","2","2","5","0","0","0","",".228",".294",".310",".604",".267","65","","0.0","","999.0","12782"
"Jonathan Aranda","","4","16","15","4","1","0","0","2","2","1","4","0","0","0","",".240",".307",".364",".671",".293","90","","0.0","","999.0","sa919293"
"Jose Herrera","ARI","12","47","42","9","2","0","1","5","5","4","11","0","0","0","",".225",".303",".351",".654",".287","76","","0.0","","999.0","sa830295"
"Jonathan Davis","MIL","9","27","24","5","1","0","0","3","2","2","7","1","1","0","",".209",".296",".326",".622",".277","70","","0.0","","999.0","15104"
"Sebastian Rivero","","8","28","26","6","1","0","1","2","3","2","7","0","0","0","",".225",".275",".342",".618",".269","66","","0.0","","999.0","21735"
"Maikel Franco","WSN","53","210","194","45","8","0","7","21","24","13","35","1","0","0","",".231",".283",".381",".663",".284","74","","0.0","","586.1","12179"
"Andy Burns","LAD","8","17","15","3","1","0","0","2","2","1","4","0","0","0","",".221",".290",".360",".650",".284","78","","0.0","","999.0","12779"
"Omar Estévez","LAD","5","20","18","4","1","0","0","2","2","1","5","0","0","0","",".228",".285",".368",".653",".283","78","","0.0","","999.0","sa914242"
"Daniel Johnson","CLE","23","74","67","15","3","0","2","8","8","5","22","1","1","0","",".225",".288",".386",".674",".291","83","","0.0","","999.0","19643"
"David Dahl","MIL","13","52","48","12","3","0","1","6","6","3","12","0","1","0","",".248",".301",".393",".694",".300","85","","0.0","","599.9","13744"
"Alan Trejo","COL","19","62","58","14","3","0","2","7","7","3","16","1","0","0","",".241",".284",".392",".676",".290","67","","0.0","","999.0","20056"
"Travis Blankenhorn","","5","12","11","2","0","0","0","1","1","1","4","0","0","0","",".211",".279",".365",".644",".280","79","","0.0","","999.0","18395"
"Jake Lamb","LAD","13","46","40","9","2","0","2","6","6","5","12","1","0","0","",".215",".312",".397",".708",".308","94","","0.0","","999.0","13329"
"Lucius Fox","WSN","6","24","21","5","1","0","0","3","2","2","6","0","1","0","",".226",".302",".332",".634",".281","72","","0.0","","999.0","sa914200"
"Gregory Polanco","","3","10","9","2","0","0","0","1","1","1","3","0","0","0","",".226",".297",".421",".719",".308","90","","0.0","","600.6","12907"
"Lewin Díaz","","50","194","178","41","9","1","8","21","26","12","46","2","0","0","",".229",".283",".428",".710",".301","90","","0.0","","593.7","18365"
"Clay Dungan","KCR","2","9","8","2","0","0","0","1","1","0","2","0","0","0","",".242",".293",".348",".641",".280","73","","0.0","","999.0","sa1169803"
"Richie Martin","BAL","27","94","86","19","3","1","1","10","7","6","24","1","2","1","",".223",".282",".320",".603",".266","64","","0.0","","999.0","17736"
"Billy Hamilton","","21","70","64","13","2","1","1","8","4","5","19","0","4","1","",".208",".269",".295",".564",".250","60","","0.0","","600.2","10199"
"Emmanuel Rivera","KCR","25","94","87","22","5","0","2","10","10","6","19","1","1","0","",".249",".298",".387",".685",".295","84","","0.0","","999.0","19890"
"Ian Desmond","COL","7","26","23","6","1","0","1","3","3","2","6","0","1","0","",".254",".315",".423",".738",".318","84","","0.0","","999.0","6885"
"Austin Dean","","11","28","26","6","1","0","1","3","3","2","7","0","0","0","",".239",".300",".378",".678",".294","85","","0.0","","999.0","18288"
"Taylor Motter","","9","24","22","5","1","0","1","3","3","2","6","0","0","0","",".208",".287",".361",".648",".282","72","","0.0","","999.0","12399"
"Fabian Pena","","2","6","6","1","0","0","0","1","1","0","2","0","0","0","",".218",".264",".361",".625",".270","69","","0.0","","999.0","sa3007303"
