"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Rhys Hoskins","PHI","143","608","509","121","28","1","34","88","92","83","147","9","4","2","",".237",".351",".495",".847",".361","124","","-1.1","1.8","","17.7","-10.2","2.8","","119.6","16472"
"Bobby Witt Jr.","KCR","141","571","517","133","30","3","24","73","76","40","127","6","16","6","",".257",".316",".464",".780",".332","108","","0.1","0.0","","6.0","2.1","2.8","","78.7","sa3011225"
"Jeimer Candelario","DET","146","627","547","138","34","3","19","75","76","67","137","7","1","1","",".253",".339",".432",".771",".334","111","","-0.5","-4.7","","8.3","-2.3","2.7","","245.0","13621"
"Kyle Schwarber","PHI","139","631","533","127","22","1","41","99","92","82","172","7","4","1","",".239",".345",".512",".857",".363","126","","-1.2","-0.9","","19.5","-13.2","2.7","","108.0","16478"
"Brandon Crawford","SFG","134","578","513","131","28","2","19","69","73","53","119","6","7","4","",".254",".329",".430",".759",".325","105","","-1.3","-1.1","","2.5","5.4","2.7","","224.8","5343"
"Jared Walsh","LAA","144","618","548","142","29","2","34","85","98","57","160","7","2","1","",".258",".333",".502",".835",".352","123","","-1.2","1.3","","16.5","-10.8","2.7","","120.1","18607"
"Salvador Perez","KCR","139","610","568","148","26","1","37","80","101","27","149","10","1","1","",".261",".303",".508",".811",".340","114","","-1.6","5.6","","8.8","11.2","2.7","","32.3","7304"
"Cody Bellinger","LAD","120","475","412","101","19","3","24","66","71","54","103","3","7","2","",".245",".333",".478",".811",".342","116","","0.0","-0.8","","9.8","1.0","2.7","","113.1","15998"
"Daulton Varsho","ARI","122","492","437","111","23","3","21","64","67","44","99","5","8","3","",".254",".327",".468",".794",".337","108","","0.6","1.1","","5.9","5.2","2.6","","91.6","19918"
"Eloy Jiménez","CHW","139","593","541","145","27","1","34","81","97","41","141","5","1","1","",".267",".322",".508",".829",".351","124","","-0.2","-2.1","","17.1","-11.0","2.6","","65.7","17484"
"Kolten Wong","MIL","134","621","551","146","32","3","15","84","59","48","103","12","16","5","",".265",".335",".412",".747",".324","101","","1.3","1.7","","1.8","3.9","2.6","","196.2","12532"
"Jacob Stallings","MIA","101","399","353","87","18","1","9","43","42","37","85","4","1","0","",".246",".321",".379",".700",".307","95","","-0.9","0.3","","-3.7","8.7","2.6","","469.5","13723"
"Max Stassi","LAA","95","386","341","76","14","1","15","44","47","34","114","6","1","0","",".223",".302",".400",".702",".305","92","","-1.1","-2.7","","-4.9","5.2","2.6","","301.3","10059"
"Paul DeJong","STL","128","506","443","104","20","1","21","61","65","46","122","9","5","2","",".235",".316",".431",".747",".322","104","","-0.3","0.7","","2.5","6.5","2.6","","499.0","18015"
"Aaron Hicks","NYY","126","538","452","105","20","2","19","69","65","75","121","5","5","2","",".233",".346",".416",".762",".333","112","","0.5","-3.5","","8.5","-1.4","2.5","","530.3","5297"
"Jeff McNeil","NYM","133","542","484","135","29","1","14","64","65","39","75","12","4","2","",".280",".346",".434",".780",".337","116","","-0.9","-2.5","","10.4","-3.5","2.5","","326.3","15362"
"Keibert Ruiz","WSN","97","407","367","99","19","1","18","53","60","31","49","4","1","0","",".269",".330",".475",".805",".343","112","","-0.5","-0.3","","5.9","5.6","2.5","","146.4","19610"
"Dylan Carlson","STL","146","621","546","137","29","3","21","77","75","59","144","9","4","2","",".251",".331",".431",".762",".328","108","","-0.7","4.1","","6.0","-1.8","2.5","","166.6","20126"
"Max Kepler","MIN","131","564","486","114","25","3","24","76","71","64","107","7","8","3","",".234",".329",".448",".777",".333","111","","0.3","3.5","","8.1","-2.6","2.5","","301.1","12144"
"Adley Rutschman","BAL","97","393","341","85","17","1","14","48","46","42","72","4","3","1","",".251",".338",".431",".769",".333","109","","-0.3","0.0","","4.2","6.8","2.4","","219.7","sa3011643"
"Tyler Stephenson","CIN","106","451","396","104","23","1","15","55","59","44","87","6","1","0","",".263",".344",".436",".781",".338","106","","-0.7","-0.2","","2.5","7.8","2.4","","136.5","17988"
"Javier Báez","DET","141","601","558","137","28","3","27","71","84","30","182","8","13","5","",".245",".291",".450",".742",".314","98","","1.2","-3.4","","0.0","3.6","2.4","","63.1","12979"
"DJ LeMahieu","NYY","107","492","436","123","21","1","12","68","49","45","68","3","4","2","",".283",".352",".421",".774",".336","114","","-0.3","0.9","","8.3","-1.0","2.4","","126.8","9874"
"Danny Jansen","TOR","91","349","305","72","15","1","16","46","48","35","71","4","2","1","",".237",".321",".452",".773",".332","107","","-0.5","0.5","","2.4","7.4","2.4","","399.5","16535"
"Tommy Edman","STL","134","616","561","150","32","3","13","80","58","38","93","7","22","6","",".267",".321",".406",".726",".314","99","","2.5","0.1","","2.1","1.4","2.4","","94.3","19470"
"Avisaíl García","MIA","141","606","546","145","25","1","24","74","83","44","142","10","8","4","",".265",".329",".446",".775",".331","110","","-0.7","0.4","","7.1","-3.3","2.4","","173.7","5760"
"Alex Verdugo","BOS","133","579","516","147","34","2","16","77","68","50","95","5","6","2","",".285",".351",".451",".802",".343","114","","0.5","0.3","","10.2","-6.2","2.4","","173.1","17027"
"Ian Happ","CHC","131","564","485","117","23","2","27","76","80","69","153","5","8","3","",".242",".339",".463",".803",".345","114","","0.0","0.7","","10.1","-5.0","2.4","","224.6","17919"
"Jazz Chisholm Jr.","MIA","128","584","525","127","22","4","25","81","68","44","153","6","24","9","",".243",".308",".446",".754",".323","105","","1.1","-2.7","","4.8","-0.5","2.4","","79.7","20454"
"Michael Brantley","HOU","125","561","506","147","29","2","15","76","67","43","70","6","2","1","",".291",".350",".447",".798",".344","121","","-0.8","-1.5","","13.5","-9.5","2.3","","254.4","4106"
