"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Kristopher Negrón","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".294",".371",".665",".290","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","5306"
"Ben Breazeale","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".263",".286",".549",".246","51","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002753"
"Jorge Bonifacio","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".295",".384",".679",".294","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","12174"
"Ezequiel Duran","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".263",".345",".607",".262","64","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005271"
"Trey Hair","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".269",".331",".600",".263","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3003436"
"Charcer Burks","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".301",".347",".648",".286","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737838"
"Josh Bissonette","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".289",".318",".607",".269","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa1170619"
"Joshua Fuentes","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".263",".370",".634",".272","66","","0.0","0.0","","0.0","0.0","0.0","","600.5","16885"
"D.J. Artis","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".299",".361",".660",".290","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007632"
"Cristhian Adames","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".287",".341",".628",".276","72","","0.0","0.0","","0.0","0.0","0.0","","999.0","6013"
"Tristen Lutz","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".283",".391",".674",".291","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004968"
"Joantgel Segovia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".294",".362",".655",".286","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827979"
"Gianpaul Gonzalez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".257",".297",".554",".246","52","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829276"
"Yonathan Mendoza","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".292",".303",".595",".266","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa596904"
"Chase Calabuig","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".296",".327",".623",".277","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006927"
"Daniel Vellojin","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".273",".299",".573",".257","53","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005587"
"Ryan Howard","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".275",".332",".608",".266","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857225"
"Lorenzo Hampton","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".289",".364",".653",".286","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010678"
"Ernie De La Trinidad","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".289",".366",".655",".286","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3003955"
"Rudy Martin","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".297",".364",".660",".290","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829374"
"Darnell Sweeney","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".278",".353",".631",".276","72","","0.0","0.0","","0.0","0.0","0.0","","999.0","13284"
"Michael Harris II","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".284",".344",".628",".272","66","","0.0","0.0","","0.0","0.0","0.0","","600.5","sa3010684"
"Ronny Simon","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".256",".327",".583",".255","64","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008365"
"Willy Yahn","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".263",".353",".616",".266","64","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915589"
"Matt Winaker","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".311",".342",".653",".290","86","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004506"
"Jordan George","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".314",".354",".668",".296","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa876211"
"Arden Pabst","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".242",".344",".586",".252","53","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa858812"
"Rodrigo Orozco","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".303",".341",".644",".285","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa740813"
"Miguel Hernandez","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".276",".335",".612",".267","60","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917055"
"Desmond Lindsay","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".268",".336",".604",".266","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874792"
"Elliot Soto","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".283",".304",".587",".262","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","11155"
"Demetrius Sims","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".267",".300",".567",".253","59","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004390"
"Imeldo Diaz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".272",".340",".611",".266","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872851"
"Danny Woodrow","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".284",".313",".598",".265","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918257"
"Wynton Bernard","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".292",".371",".663",".288","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658999"
"Michael Toglia","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".306",".440",".746",".319","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010393"
"Bubba Starling","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".275",".364",".640",".277","73","","0.0","0.0","","0.0","0.0","0.0","","999.0","13356"
"Granden Goetzman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".278",".379",".657",".285","77","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597785"
"Eli Wilson","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".262",".289",".551",".247","52","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918961"
"Rosell Herrera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".291",".349",".640",".281","75","","0.0","0.0","","0.0","0.0","0.0","","999.0","11611"
"Chris Clare","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".286",".306",".592",".265","64","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918466"
"Brendt Citta","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".301",".387",".688",".297","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007633"
"Francisco Arcia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".254",".312",".566",".248","53","","0.0","0.0","","-0.1","0.0","0.0","","999.0","10286"
"Roemon Fields","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".289",".314",".603",".268","64","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829879"
"Leonel Valera","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".250",".338",".587",".254","59","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917320"
"Brad Zunica","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".283",".401",".684",".295","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875647"
"Chad Bell","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".278",".401",".679",".291","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010888"
"Dom Thompson-Williams","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".262",".375",".637",".274","76","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829483"
"Sebastián Elizalde","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".299",".346",".645",".285","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa544568"
"Kelvin Melean","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".276",".321",".597",".262","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917141"
"David Bañuelos","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".240",".313",".553",".241","49","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004056"
"Gordon Beckham","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".277",".315",".592",".263","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","9015"
"Edgardo Fermin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".270",".334",".604",".265","64","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872571"
"Jung Ho Kang","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".270",".361",".631",".274","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","17182"
"Carlos Soto","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".248",".297",".544",".241","52","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa900974"
"Chad Spanberger","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".275",".384",".659",".284","77","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004242"
"Nick Franklin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".291",".326",".616",".274","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","10166"
"Josh Reddick","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".300",".375",".675",".294","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","3892"
"Mallex Smith","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".304",".345",".649",".287","76","","0.0","0.0","","0.0","0.0","0.0","","999.0","13608"
"Drew Ward","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".287",".394",".681",".295","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737690"
"Joseph Odom","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".252",".299",".550",".244","56","","0.0","0.0","","-0.1","0.0","0.0","","999.0","15535"
"Kevin Kramer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".302",".363",".664",".291","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","17689"
"Yorman Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".289",".391",".680",".292","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872817"
"José Pirela","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".294",".387",".680",".293","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","5485"
"Matt Scheffler","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".240",".287",".527",".234","49","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3014832"
"Nick Heath","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".285",".318",".603",".268","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","19577"
"Luis Alejandro Basabe","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".277",".319",".596",".264","64","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736924"
"Sócrates Brito","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".288",".380",".668",".290","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","12944"
"Chance Sisco","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".300",".351",".651",".288","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","15694"
"Delvin Zinn","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".271",".314",".586",".257","57","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875884"
"Matt Wieters","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".273",".332",".604",".267","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","4298"
"Jefrey Ramos","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".276",".400",".676",".290","77","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa923039"
"Anibal Sierra","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".257",".303",".560",".248","56","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa908626"
"Ian Rice","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".299",".372",".671",".294","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658968"
"Manuel Geraldo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".268",".336",".604",".263","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827970"
"Stephen Wrenn","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".286",".358",".644",".282","76","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738419"
"Jimmy Kerrigan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".271",".389",".660",".283","76","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005235"
"Edwin Figuera","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".273",".321",".593",".259","58","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872730"
"Alberti Chavez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".268",".306",".574",".254","57","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa657456"
"Riley Mahan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".266",".340",".606",".264","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829844"
"Hunter Jones","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".275",".323",".597",".264","64","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa548556"
"Jancarlos Cintron","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".276",".341",".618",".270","64","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004065"
"Freddy Zamora","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".278",".304",".581",".259","58","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3014500"
"Edgar Corcino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".284",".369",".654",".284","77","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa502309"
"Tyler Fitzgerald","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".260",".341",".601",".262","64","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3011257"
"Greg Deichmann","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".299",".359",".658",".290","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","19872"
"Daniel Cope","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".279",".321",".600",".266","51","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010157"
"Cole Sturgeon","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".286",".356",".642",".281","76","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa709546"
"Ryan Casteel","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".285",".417",".703",".301","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa549286"
"Ryan Court","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".304",".377",".681",".298","86","","0.0","0.0","","0.0","0.0","0.0","","999.0","12268"
"Jon Kemmer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".280",".370",".650",".283","77","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738208"
"Jonathan Morales","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".271",".337",".609",".266","51","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875808"
"Christian Donahue","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".281",".326",".607",".268","64","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005401"
"Nick Zammarelli III","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".289",".388",".677",".293","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738401"
"Jairo Pomares","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".266",".390",".657",".281","77","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010023"
"Scott Hurst","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".272",".322",".594",".262","65","","0.0","0.0","","0.0","0.0","0.0","","999.0","20501"
"Rubén Tejada","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".291",".309",".600",".268","66","","0.0","0.0","","0.0","0.0","0.0","","999.0","5519"
"Will Maddox","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".276",".325",".601",".264","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827323"
"Kellen Strahm","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".273",".309",".582",".258","62","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010278"
"Dylan Davis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".267",".371",".637",".276","71","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa709037"
"Kyle Datres","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".288",".365",".653",".285","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008029"
"Aldrem Corredor","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".299",".391",".690",".299","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736852"
"Connor Panas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".283",".395",".678",".292","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875228"
"Michael Guldberg","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".255",".324",".579",".253","61","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014822"
"Chris Givin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".265",".299",".564",".250","57","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010161"
"Nash Knight","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".280",".312",".592",".265","62","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa876814"
"Phillip Ervin","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".303",".365",".668",".294","80","","0.0","0.0","","0.0","0.0","0.0","","999.0","14738"
"Alex De Goti","HOU","3","13","12","2","1","0","0","1","1","1","3","0","0","0","",".212",".281",".328",".609",".269","70","","0.0","-0.1","","-0.5","0.0","0.0","","999.0","19477"
"Isaac Collins","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".299",".352",".651",".285","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3009884"
"Israel Pineda","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".241",".331",".572",".247","50","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004385"
"Brandon Howlett","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".268",".340",".609",".266","61","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007745"
"Bengie González","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".275",".293",".567",".253","57","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa454764"
"Jorge Barrosa","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".274",".337",".612",".268","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005524"
"Nellie Rodríguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".273",".407",".680",".292","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658264"
"Zach Vincej","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".277",".325",".602",".264","64","","0.0","0.0","","0.0","0.0","0.0","","999.0","13269"
"Rafael Lantigua","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".270",".332",".601",".264","61","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3003219"
"Jair Camargo","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".229",".321",".550",".238","47","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917333"
"Tyler Marincov","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".273",".378",".651",".282","76","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa550348"
"Reivaj Garcia","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".267",".319",".586",".257","57","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006900"
"Andrew Romine","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".286",".328",".614",".270","66","","0.0","0.0","","0.0","0.0","0.0","","999.0","1159"
"Carlos Gómez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".280",".375",".655",".284","77","","0.0","0.0","","0.0","0.0","0.0","","999.0","4881"
"Rodrigo Vigil","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".255",".299",".553",".244","47","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa547818"
"Johan Rojas","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".265",".348",".613",".266","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005784"
"Joel Booker","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".261",".325",".585",".256","60","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918497"
"Trace Loehr","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".276",".318",".594",".262","62","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829044"
"Pablo Sandoval","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".295",".406",".701",".302","90","","0.0","0.0","","0.0","0.0","0.0","","999.0","5409"
"Zade Richardson","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".243",".291",".534",".238","50","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010901"
"Cade Gotta","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".277",".312",".589",".262","62","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829411"
"Roberto Caro","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".302",".327",".629",".280","74","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657285"
"Anthony Seigler","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".251",".276",".527",".237","47","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006894"
"Dwight Smith Jr.","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".305",".372",".677",".296","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","13473"
"Gabriel Maciel","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".274",".308",".582",".258","60","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa919532"
"Mark Zagunis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".301",".346",".647",".286","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","16565"
"Luisangel Acuna","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".257",".302",".558",".246","54","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008765"
"Blake Rutherford","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".272",".370",".642",".276","74","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917932"
"Gage Workman","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".249",".321",".570",".248","54","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3014441"
"J.C. Escarra","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".296",".373",".668",".291","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738605"
"Tyler Ladendorf","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".269",".329",".598",".262","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","3211"
"Michael Amditis","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".245",".291",".536",".238","47","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3010148"
"Jacob Pearson","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".285",".375",".660",".287","75","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004722"
"Preston Beck","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".287",".356",".643",".282","75","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa621361"
"Marco Hernández","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".274",".341",".615",".267","66","","0.0","0.0","","0.0","0.0","0.0","","999.0","13154"
"Patrick Leonard","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".293",".374",".667",".291","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597839"
"Evan Skoug","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".167",".239",".292",".531",".236","47","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829713"
"Kyle Wren","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".280",".305",".585",".262","62","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa621577"
"Chris Roller","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".285",".351",".636",".277","73","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004068"
"Liover Peguero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".260",".315",".575",".252","56","","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005582"
"Gio Brusa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".275",".400",".675",".291","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa659068"
"Rocky Gale","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".252",".302",".554",".243","50","","0.0","0.0","","-0.1","0.0","0.0","","999.0","10533"
"Jose Peroza","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".257",".326",".583",".254","63","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3003288"
"Matt McLaughlin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".282",".303",".585",".261","62","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915706"
"Austin Davidson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".303",".357",".661",".291","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa599216"
