"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Cedric Mullins","BAL","152","658","589","154","30","5","24","87","67","53","124","7","26","7","",".261",".327",".454",".780",".333","","0.8","2.0","","3.5","","33.6","17929"
"Enrique Hernández","BOS","146","630","554","141","33","3","25","87","75","59","122","8","3","1","",".255",".333",".458",".791",".339","","2.9","0.5","","3.5","","226.5","10472"
"Josh Donaldson","NYY","131","567","478","117","22","0","28","80","81","78","128","6","1","1","",".246",".355",".472",".827",".355","","-1.0","-1.5","","3.5","","181.1","5038"
"Harrison Bader","STL","138","595","526","129","27","2","22","75","70","50","147","12","14","5","",".246",".324",".429",".753",".322","","8.7","1.0","","3.5","","241.6","18030"
"Jorge Polanco","MIN","147","637","577","158","33","3","25","88","86","48","111","5","11","5","",".274",".331",".474",".805",".343","","-3.9","0.0","","3.5","","79.3","13152"
"Tim Anderson","CHW","152","658","620","180","33","2","22","97","71","27","137","4","20","7","",".290",".322",".457",".779",".333","","-6.5","1.9","","3.4","","30.0","15172"
"Paul Goldschmidt","STL","156","672","589","160","30","2","29","94","90","73","146","4","7","2","",".271",".354",".476",".829",".355","","1.8","0.3","","3.4","","47.4","9218"
"Sean Murphy","OAK","120","480","419","96","23","1","20","57","62","45","123","9","1","0","",".228",".314",".428",".743",".321","","2.7","-0.4","","3.4","","245.5","19352"
"Seiya Suzuki","CHC","130","560","491","141","26","2","26","80","85","60","102","5","10","6","",".287",".368",".508",".877",".370","","-0.1","-1.2","","3.3","","999.0","sa3018052"
"Christian Yelich","MIL","146","630","532","140","26","3","26","92","85","88","152","6","15","4","",".263",".372",".472",".844",".361","","-1.3","1.8","","3.2","","98.7","11477"
"Bobby Witt Jr.","KCR","141","609","551","145","31","3","24","75","75","42","135","7","21","7","",".262",".319",".459",".778",".332","","2.2","0.7","","3.2","","78.7","sa3011225"
"Willy Adames","MIL","143","616","548","139","29","2","25","79","77","60","171","2","7","4","",".254",".329",".449",".778",".334","","-0.8","0.0","","3.2","","124.9","15986"
"Gleyber Torres","NYY","146","630","557","147","27","0","23","78","81","62","125","4","12","5","",".264",".339",".438",".777",".335","","-3.7","-0.2","","3.1","","161.3","16997"
"Jeimer Candelario","DET","146","630","555","140","34","4","19","75","72","65","140","7","1","1","",".253",".337",".431",".768",".332","","-0.6","-0.7","","3.1","","245.0","13621"
"Oneil Cruz","","113","490","448","123","23","5","24","61","70","34","113","3","16","4","",".274",".328",".506",".834",".353","","-0.2","1.0","","3.1","","218.0","21711"
"Cody Bellinger","LAD","120","518","451","111","22","3","26","74","82","59","117","3","9","2","",".245",".333",".478",".811",".342","","0.7","0.5","","3.0","","113.1","15998"
"Ty France","SEA","143","616","546","151","30","2","21","80","81","43","112","21","1","1","",".277",".351",".456",".807",".348","","1.7","-1.3","","3.0","","160.5","17982"
"Jacob Stallings","MIA","109","429","381","94","19","1","9","42","45","39","92","4","0","0","",".247",".321",".371",".692",".304","","6.2","-0.8","","3.0","","469.5","13723"
"Ke'Bryan Hayes","PIT","139","602","541","140","33","4","15","72","66","51","128","4","11","2","",".259",".325",".414",".739",".320","","7.3","0.7","","3.0","","151.9","18577"
"J.P. Crawford","SEA","154","665","591","153","32","2","12","81","59","60","118","6","7","4","",".258",".331",".382",".713",".313","","-0.7","-0.9","","3.0","","491.1","15491"
"Javier Báez","DET","141","609","567","144","28","3","27","78","85","29","180","8","16","6","",".253",".298",".459",".757",".320","","-0.6","1.2","","3.0","","63.1","12979"
"Giancarlo Stanton","NYY","138","595","521","136","23","0","36","80","103","64","166","5","1","0","",".261",".345",".517",".862",".365","","-0.1","-1.4","","2.9","","95.4","4949"
"Max Kepler","MIN","131","567","493","117","27","3","25","78","72","62","104","7","8","3","",".237",".328",".455",".783",".335","","6.0","0.5","","2.9","","301.1","12144"
"Anthony Rizzo","NYY","136","588","501","130","22","2","27","79","83","60","93","21","6","2","",".259",".359",".469",".828",".355","","1.7","-1.8","","2.9","","186.8","3473"
"Max Stassi","LAA","102","403","357","80","14","1","15","47","47","35","122","7","1","0","",".223",".303",".398",".701",".305","","2.0","-1.0","","2.9","","301.3","10059"
