"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","ADP","playerid"
"Jacob deGrom","NYM","15","7","0","0","2.81","32","32","204.0","155","64","22","266","49","1.00","11.74","2.17","2.85","6.3","4.4","10954"
"Gerrit Cole","NYY","16","8","0","0","3.40","32","32","200.0","161","75","29","265","54","1.08","11.93","2.45","3.37","5.5","7.3","13125"
"Shane Bieber","CLE","14","9","0","0","3.40","31","31","192.0","167","73","25","234","41","1.08","10.93","1.93","3.21","5.1","9.9","19427"
"Max Scherzer","WSN","13","7","0","0","3.42","29","29","178.0","148","68","26","234","48","1.10","11.80","2.40","3.41","4.7","24.8","3137"
"Trevor Bauer","LAD","15","8","0","0","3.50","31","31","192.0","163","75","24","225","62","1.17","10.55","2.90","3.63","4.4","15.4","12703"
"Lucas Giolito","CHW","13","8","0","0","3.51","29","29","174.0","137","68","24","223","59","1.13","11.54","3.08","3.55","4.2","17.0","15474"
"Aaron Nola","PHI","13","9","0","0","3.62","31","31","188.0","162","76","24","218","63","1.19","10.45","3.00","3.64","4.2","21.8","16149"
"Luis Castillo","CIN","13","9","0","0","3.59","31","31","183.0","156","73","22","214","65","1.21","10.57","3.22","3.59","4.2","28.0","15689"
"Walker Buehler","LAD","12","6","0","0","3.32","29","29","167.0","137","62","21","205","48","1.10","11.05","2.56","3.38","4.2","21.9","19374"
"Yu Darvish","SDP","13","8","0","0","3.46","31","31","184.0","151","71","24","226","56","1.12","11.03","2.72","3.51","4.1","16.6","13074"
"Stephen Strasburg","WSN","11","8","0","0","3.74","28","28","164.0","150","68","21","179","48","1.21","9.81","2.63","3.71","4.0","68.9","10131"
"Clayton Kershaw","LAD","14","7","0","0","3.36","29","29","174.0","154","65","24","188","38","1.10","9.71","1.97","3.55","3.7","32.3","2036"
"German Marquez","COL","12","10","0","0","4.42","31","31","186.0","193","91","28","195","52","1.32","9.46","2.51","3.99","3.7","195.3","15038"
"Brandon Woodruff","MIL","10","7","0","0","3.59","31","31","154.0","133","61","19","180","48","1.17","10.54","2.78","3.58","3.7","32.2","16162"
"Patrick Corbin","WSN","13","9","0","0","4.01","31","31","187.0","184","83","26","195","59","1.30","9.40","2.82","3.96","3.7","135.6","9323"
"Jack Flaherty","STL","12","9","0","0","3.47","31","31","176.0","143","68","23","213","57","1.14","10.90","2.91","3.62","3.6","31.9","17479"
"Hyun-Jin Ryu","TOR","12","8","0","0","3.80","29","29","173.0","171","73","24","160","41","1.22","8.28","2.10","3.94","3.3","69.1","14444"
"Kevin Gausman","SFG","11","9","0","0","3.83","29","29","170.0","157","72","21","182","49","1.21","9.68","2.58","3.64","3.3","136.7","14107"
"Tyler Glasnow","TBR","11","8","0","0","3.69","28","28","155.0","123","64","21","206","64","1.20","11.93","3.69","3.62","3.3","43.8","14374"
"Charlie Morton","ATL","12","7","0","0","3.72","29","29","161.0","146","67","19","175","53","1.24","9.77","2.95","3.75","3.3","111.5","4676"
"Joe Musgrove","SDP","13","9","0","0","3.87","29","29","164.0","152","70","23","167","43","1.19","9.18","2.34","3.90","3.2","119.2","12970"
"Zack Wheeler","PHI","11","8","0","0","4.07","29","29","180.0","174","81","25","173","51","1.25","8.63","2.53","4.08","3.2","99.9","10310"
"Sonny Gray","CIN","11","8","0","0","3.86","28","28","154.0","135","66","19","173","62","1.28","10.09","3.61","3.90","3.1","86.8","12768"
"Blake Snell","SDP","12","7","0","0","3.43","28","28","146.0","118","56","18","179","57","1.20","11.05","3.50","3.55","3.1","40.7","13543"
"Lance Lynn","CHW","12","10","0","0","4.09","31","31","190.0","175","86","31","206","64","1.26","9.77","3.04","4.30","3.1","54.8","2520"
"Jose Berrios","MIN","12","10","0","0","4.08","29","29","174.0","162","79","25","179","56","1.25","9.29","2.90","4.14","3.0","80.2","14168"
"Andrew Heaney","LAA","10","8","0","0","4.14","29","29","168.0","155","77","28","180","47","1.20","9.63","2.51","4.22","3.0","227.0","15423"
"Kyle Hendricks","CHC","11","10","0","0","4.17","29","29","178.0","182","82","26","149","39","1.24","7.53","1.95","4.22","2.8","79.4","12049"
"Marco Gonzales","SEA","11","12","0","0","4.32","29","29","176.0","183","85","27","142","44","1.29","7.25","2.23","4.48","2.8","181.8","15467"
"Corbin Burnes","MIL","8","6","0","0","3.76","26","26","128.0","109","54","16","155","50","1.24","10.89","3.52","3.74","2.7","53.3","19361"
"Dinelson Lamet","SDP","9","5","0","0","3.50","23","23","123.0","97","48","15","162","48","1.17","11.82","3.48","3.49","2.7","111.3","17186"
"Zack Greinke","HOU","12","9","0","0","4.05","31","31","186.0","182","84","31","172","40","1.19","8.31","1.95","4.25","2.7","102.4","1943"
"Marcus Stroman","NYM","11","8","0","0","3.87","28","28","163.0","159","70","19","140","55","1.31","7.72","3.03","4.09","2.6","190.5","13431"
"Kenta Maeda","MIN","10","8","0","0","4.22","29","29","144.0","132","68","22","155","48","1.25","9.70","2.98","4.17","2.6","47.5","18498"
"James Paxton","SEA","9","7","0","0","3.85","24","24","130.0","114","56","19","148","43","1.21","10.26","2.97","3.88","2.6","215.4","11828"
"Corey Kluber","NYY","11","8","0","0","4.10","26","26","155.0","148","71","26","156","40","1.21","9.04","2.31","4.22","2.6","167.1","2429"
"Max Fried","ATL","11","7","0","0","3.90","29","29","144.0","139","62","16","142","53","1.34","8.92","3.30","3.90","2.6","68.7","13743"
"Eduardo Rodriguez","BOS","11","9","0","0","4.33","28","28","163.0","158","79","23","168","62","1.35","9.27","3.39","4.22","2.6","217.6","13164"
"Robbie Ray","TOR","10","9","0","0","4.22","29","29","158.0","131","74","25","206","83","1.35","11.76","4.73","4.35","2.6","294.5","11486"
"Mike Minor","KCR","10","11","0","0","4.41","29","29","176.0","171","86","27","156","54","1.28","8.00","2.77","4.49","2.6","303.7","10021"
"Matthew Boyd","DET","10","11","0","0","4.51","29","29","166.0","160","83","29","175","51","1.27","9.50","2.78","4.44","2.5","311.9","15440"
"Lance McCullers Jr.","HOU","10","8","0","0","3.85","26","26","144.0","130","61","17","153","54","1.28","9.58","3.35","3.96","2.5","114.2","14120"
"Dallas Keuchel","CHW","12","11","0","0","4.30","31","31","183.0","189","87","25","141","59","1.36","6.90","2.90","4.51","2.5","217.8","9434"
"Jesus Luzardo","OAK","8","7","0","0","3.82","26","26","127.0","116","54","18","132","41","1.23","9.37","2.86","4.03","2.4","96.4","19959"
"Sixto Sanchez","","8","8","0","0","3.86","24","24","136.0","131","58","15","122","41","1.27","8.09","2.74","3.95","2.4","134.2","19680"
"Pablo Lopez","MIA","10","9","0","0","3.97","28","28","148.0","140","65","19","143","45","1.25","8.64","2.71","4.01","2.4","130.2","17085"
"Zac Gallen","ARI","9","7","0","0","3.87","23","23","129.0","115","55","18","149","45","1.24","10.39","3.15","3.91","2.4","72.1","19291"
"Chris Sale","BOS","6","4","0","0","3.42","15","15","86.0","72","33","11","108","22","1.09","11.28","2.26","3.29","2.3","357.7","10603"
"Michael Pineda","MIN","9","9","0","0","4.62","28","28","154.0","162","79","27","139","37","1.29","8.11","2.16","4.51","2.3","235.6","5372"
"Dylan Bundy","LAA","11","10","0","0","4.52","29","29","171.0","162","86","30","173","53","1.26","9.13","2.81","4.57","2.3","120.1","12917"
"Jon Gray","COL","9","10","0","0","5.19","28","28","153.0","171","88","26","142","53","1.47","8.36","3.14","4.70","2.2","562.2","14916"
"Tyler Mahle","CIN","9","8","0","0","4.50","26","26","138.0","134","69","23","148","50","1.33","9.66","3.23","4.44","2.2","170.8","16358"
"Frankie Montas","OAK","10","9","0","0","4.10","26","26","142.0","136","65","20","141","48","1.29","8.91","3.03","4.21","2.2","162.5","14309"
"Kyle Gibson","TEX","9","12","0","0","4.74","29","29","171.0","179","90","25","149","67","1.44","7.88","3.54","4.67","2.2","555.0","10123"
"Mike Soroka","ATL","9","7","0","0","3.99","24","24","139.0","140","62","16","115","39","1.29","7.46","2.54","4.07","2.2","186.6","18383"
"Carlos Carrasco","NYM","8","5","0","0","3.48","21","21","102.0","87","40","14","122","29","1.14","10.71","2.56","3.56","2.2","137.0","6632"
"Jordan Montgomery","NYY","8","6","0","0","4.29","24","24","127.0","123","60","20","123","42","1.30","8.74","2.98","4.36","2.1","231.1","16511"
"Zach Eflin","PHI","11","10","0","0","4.54","29","29","166.0","168","83","28","157","48","1.30","8.55","2.60","4.51","2.1","186.2","13774"
"Josh Hader","MIL","4","2","25","2","2.93","0","66","66.0","41","21","9","108","26","1.03","14.74","3.60","3.02","2.1","57.1","14212"
"Kwang-hyun Kim","STL","10","9","0","0","4.08","28","28","163.0","163","74","23","139","47","1.29","7.68","2.57","4.30","2.1","374.4","27458"
"Sean Manaea","OAK","10","10","0","0","4.17","28","28","152.0","149","71","23","131","40","1.25","7.75","2.38","4.41","2.0","249.4","15873"
"Chris Paddack","SDP","9","6","0","0","3.88","23","23","122.0","112","52","18","127","30","1.17","9.41","2.21","3.97","2.0","101.9","20099"
"Zach Plesac","CLE","9","10","0","0","4.62","28","28","160.0","162","82","27","142","47","1.31","7.97","2.65","4.68","2.0","85.9","19979"
"Chris Archer","TBR","8","7","0","0","4.27","24","24","135.0","128","64","21","147","50","1.31","9.82","3.31","4.23","2.0","486.7","6345"
"Merrill Kelly","ARI","10","10","0","0","4.71","26","26","155.0","161","81","25","140","49","1.36","8.11","2.86","4.62","2.0","527.5","11156"
"Aroldis Chapman","NYY","4","2","32","2","2.82","0","63","63.0","42","20","6","99","30","1.13","14.17","4.23","2.90","2.0","64.9","10233"
"Noah Syndergaard","NYM","6","4","0","0","3.73","16","16","96.0","90","40","12","97","25","1.20","9.09","2.37","3.71","2.0","331.5","11762"
"Nate Pearson","TOR","7","6","0","0","4.29","23","23","110.0","103","52","17","114","41","1.31","9.33","3.35","4.38","2.0","317.0","20160"
"Kohei Arihara","TEX","0","0","0","0","4.17","26","38","116.0","107","54","17","115","39","1.27","8.98","3.07","4.25","2.0","565.1","sa3014740"
"Liam Hendriks","CHW","5","3","29","3","3.08","0","68","68.0","52","23","9","96","19","1.04","12.64","2.51","2.98","2.0","53.7","3548"
"Dane Dunning","TEX","6","7","0","0","4.55","23","23","120.0","120","61","17","111","47","1.39","8.28","3.55","4.55","1.9","354.2","19409"
"Jameson Taillon","NYY","9","7","0","0","4.52","23","23","132.0","135","66","22","117","36","1.30","7.99","2.43","4.53","1.9","190.0","11674"
"Yusei Kikuchi","SEA","8","9","0","0","4.33","28","28","151.0","148","73","22","139","53","1.33","8.28","3.14","4.46","1.9","280.2","20633"
"Edwin Diaz","NYM","5","2","32","2","2.76","0","63","63.0","42","19","7","102","24","1.05","14.58","3.45","2.76","1.9","70.9","14710"
"Nathan Eovaldi","BOS","8","6","0","0","4.43","26","26","125.0","125","61","19","126","37","1.30","9.08","2.65","4.22","1.9","259.6","9132"
"Anthony DeSclafani","SFG","8","8","0","0","4.35","26","26","143.0","143","69","21","133","44","1.31","8.38","2.80","4.28","1.8","468.4","13050"
"Luis Severino","NYY","6","4","0","0","3.83","15","15","85.0","78","36","13","92","25","1.20","9.76","2.63","3.93","1.8","448.6","15890"
"Jake Odorizzi","HOU","9","8","0","0","4.40","26","26","138.0","129","68","24","144","48","1.28","9.36","3.13","4.56","1.8","277.0","6397"
"Ian Anderson","ATL","9","7","0","0","4.18","24","24","130.0","115","60","17","149","65","1.38","10.29","4.50","4.24","1.8","96.3","19951"
"John Means","BAL","8","10","0","0","4.82","28","28","135.0","139","72","27","114","35","1.29","7.58","2.35","5.01","1.7","230.5","16269"
"Sandy Alcantara","MIA","9","10","0","0","4.41","29","29","174.0","168","85","22","153","74","1.39","7.89","3.81","4.54","1.7","133.0","18684"
"Brad Keller","KCR","9","11","0","0","4.60","28","28","162.0","167","83","20","119","63","1.42","6.62","3.52","4.66","1.7","364.8","15734"
"Danny Duffy","KCR","8","10","0","0","4.81","28","28","151.0","153","81","25","137","55","1.37","8.14","3.25","4.77","1.7","555.1","3542"
"Justus Sheffield","SEA","8","9","0","0","4.49","26","26","143.0","142","72","19","129","67","1.46","8.12","4.19","4.71","1.7","344.0","17285"
"Julio Urias","LAD","7","5","0","1","3.89","23","38","106.0","93","46","16","114","37","1.23","9.71","3.14","4.15","1.6","121.1","14765"
"Brady Singer","KCR","8","9","0","0","4.54","24","24","132.0","136","67","18","110","46","1.38","7.50","3.15","4.50","1.6","253.5","25377"
"Luke Weaver","ARI","9","8","0","0","4.53","24","24","126.0","126","64","21","128","40","1.31","9.15","2.83","4.39","1.6","515.0","16918"
"Spencer Turnbull","DET","8","8","0","0","4.50","23","23","124.0","122","62","17","117","51","1.40","8.53","3.68","4.60","1.6","485.2","16207"
"Chris Bassitt","OAK","8","8","0","0","4.35","29","29","146.0","143","71","22","129","49","1.31","7.94","3.01","4.58","1.6","189.7","12304"
"J.A. Happ","MIN","8","9","0","0","4.61","24","24","133.0","133","68","21","120","46","1.35","8.08","3.13","4.64","1.6","442.0","7410"
"Griffin Canning","LAA","8","7","0","0","4.49","24","24","130.0","124","65","22","131","47","1.31","9.08","3.28","4.66","1.6","315.8","19867"
"Zach Davies","CHC","9","9","0","0","4.63","28","28","152.0","165","78","22","114","49","1.40","6.71","2.87","4.68","1.6","254.6","13183"
"Josh Lindblom","MIL","9","8","0","1","4.42","21","58","139.0","135","68","23","141","39","1.25","9.14","2.53","4.32","1.6","390.8","7882"
"Garrett Richards","BOS","7","6","0","0","4.60","24","24","114.0","113","58","17","111","43","1.37","8.77","3.37","4.41","1.6","484.2","9784"
"Carlos Martinez","STL","8","9","0","0","4.48","24","24","133.0","130","66","18","119","55","1.39","8.04","3.69","4.58","1.6","425.5","11682"
"Adam Wainwright","STL","9","10","0","0","4.52","26","26","151.0","155","76","23","130","53","1.38","7.77","3.14","4.62","1.5","345.9","2233"
"Mitch Keller","PIT","7","8","0","0","4.48","24","24","127.0","123","63","18","130","56","1.41","9.23","3.95","4.41","1.5","414.9","17594"
"Trevor Rogers","MIA","8","7","0","0","4.12","23","23","120.0","113","55","16","119","47","1.33","8.86","3.52","4.28","1.5","370.7","22286"
"Rick Porcello","","7","7","0","0","4.66","19","19","112.0","118","58","20","98","30","1.31","7.87","2.37","4.68","1.5","596.8","2717"
"Logan Webb","SFG","7","7","0","0","4.12","24","24","114.0","114","52","12","102","43","1.38","8.02","3.42","4.11","1.5","505.4","17995"
"Adrian Houser","MIL","7","7","0","0","4.31","24","24","116.0","115","55","15","105","42","1.36","8.20","3.26","4.36","1.5","554.1","12718"
"Miles Mikolas","STL","6","6","0","0","4.09","18","18","103.0","106","47","15","83","21","1.23","7.22","1.84","4.25","1.5","548.2","9803"
"Johnny Cueto","SFG","9","9","0","0","4.54","29","29","168.0","172","85","25","147","56","1.35","7.85","2.97","4.54","1.5","560.0","6893"
"Aaron Civale","CLE","9","10","0","0","4.73","26","26","150.0","160","79","26","125","38","1.32","7.51","2.26","4.71","1.5","178.9","19479"
"James Karinchak","CLE","4","3","22","7","3.30","0","64","64.0","41","23","7","108","41","1.29","15.20","5.83","3.32","1.5","99.7","20151"
"Jose Quintana","LAA","8","8","0","0","4.62","28","28","133.0","135","68","23","120","43","1.34","8.12","2.92","4.70","1.4","475.9","11423"
"Madison Bumgarner","ARI","8","10","0","0","4.99","29","29","170.0","180","94","34","148","46","1.33","7.86","2.46","5.04","1.4","329.3","5524"
"Drew Smyly","ATL","7","5","0","0","4.38","24","24","116.0","107","56","19","133","44","1.31","10.32","3.40","4.33","1.4","243.3","11760"
"Framber Valdez","HOU","6","4","0","0","3.75","16","16","79.0","71","33","8","81","34","1.33","9.30","3.94","3.93","1.4","283.3","17295"
"Taijuan Walker","NYM","8","8","0","0","4.37","26","26","138.0","136","67","21","128","51","1.35","8.30","3.31","4.63","1.4","278.8","11836"
"Ryan Pressly","HOU","4","3","30","3","3.25","0","63","63.0","53","23","7","76","19","1.14","10.86","2.78","3.30","1.4","95.6","7005"
"Brett Anderson","MIL","8","8","0","0","4.47","24","24","129.0","141","64","17","85","36","1.38","5.92","2.50","4.55","1.4","594.2","8223"
"Tarik Skubal","DET","7","8","0","0","4.61","23","23","115.0","108","59","20","125","46","1.33","9.75","3.57","4.67","1.4","305.4","22267"
"Chad Green","NYY","4","3","1","14","3.42","0","64","64.0","52","24","10","84","19","1.11","11.88","2.70","3.56","1.4","518.0","15552"
"Dustin May","LAD","7","4","0","1","3.80","19","43","102.0","95","43","13","99","30","1.23","8.77","2.63","3.95","1.4","229.1","19716"
"Jonathan Brubaker","PIT","6","7","0","1","4.32","21","42","117.0","117","56","14","104","44","1.38","8.03","3.35","4.26","1.4","545.0","17578"
"Shohei Ohtani","LAA","7","6","0","0","4.37","18","18","96.0","85","46","14","109","47","1.39","10.28","4.46","4.40","1.3","155.7","19755"
"Mike Foltynewicz","TEX","7","9","0","0","5.14","23","23","124.0","128","71","23","108","49","1.43","7.87","3.57","5.19","1.3","556.5","10811"
"Dylan Cease","CHW","8","8","0","0","4.58","24","24","125.0","119","64","19","126","61","1.44","9.08","4.37","4.74","1.3","324.0","18525"
"Steven Matz","TOR","7","7","0","0","4.71","24","24","115.0","116","60","20","109","40","1.36","8.56","3.16","4.72","1.3","540.9","13361"
"Kris Bubic","","6","7","0","0","4.53","19","19","102.0","99","51","14","93","43","1.41","8.24","3.85","4.61","1.3","999.0","21455"
"Martin Perez","BOS","9","10","0","0","5.09","28","28","155.0","172","88","23","119","62","1.51","6.89","3.61","4.91","1.3","588.0","6902"
"Tyler Anderson","PIT","7","9","0","0","4.94","26","26","144.0","149","79","25","122","53","1.41","7.63","3.33","4.99","1.3","596.7","12880"
"Taylor Rogers","MIN","4","3","11","10","3.30","0","64","64.0","56","23","7","73","19","1.17","10.23","2.66","3.42","1.3","206.1","13449"
"Jake Arrieta","CHC","9","9","0","0","4.71","24","24","136.0","143","71","19","108","50","1.43","7.20","3.33","4.73","1.3","535.6","4153"
"Trevor May","NYM","4","3","3","14","3.50","0","64","64.0","50","25","8","85","25","1.17","11.94","3.54","3.56","1.3","534.5","6398"
"Ryan Yarbrough","TBR","8","8","0","0","4.42","28","28","137.0","139","67","21","109","36","1.29","7.20","2.40","4.63","1.3","261.5","16502"
"Casey Mize","DET","6","7","0","0","4.92","23","23","112.0","119","61","19","92","36","1.38","7.41","2.88","4.94","1.3","441.3","20492"
"Domingo German","NYY","8","7","0","1","4.52","21","49","112.0","107","56","20","119","37","1.28","9.57","3.00","4.56","1.2","244.2","17149"
"Wade Miley","CIN","8","9","0","0","4.77","26","26","131.0","138","69","19","112","56","1.48","7.72","3.87","4.84","1.2","598.1","8779"
"David Peterson","NYM","6","6","0","0","4.11","19","19","103.0","99","47","12","92","42","1.36","8.03","3.64","4.37","1.2","999.0","20302"
"Kyle Freeland","COL","6","7","0","0","5.22","21","21","113.0","130","65","17","89","43","1.54","7.11","3.44","4.90","1.2","573.6","16256"
"Antonio Senzatela","COL","8","11","0","0","5.64","29","29","144.0","174","90","23","102","54","1.58","6.36","3.40","5.18","1.2","576.5","15488"
"Tanner Roark","TOR","8","8","0","0","5.05","24","24","132.0","141","74","24","113","45","1.41","7.66","3.07","5.07","1.2","592.0","8753"
"Tanner Scott","BAL","4","3","8","11","3.64","0","65","65.0","54","26","7","78","34","1.36","10.83","4.76","3.87","1.2","397.4","17586"
"Caleb Smith","ARI","7","8","0","0","4.91","24","24","127.0","119","69","24","137","57","1.38","9.75","4.03","4.96","1.2","457.3","14875"
"Freddy Peralta","MIL","7","6","0","1","4.16","18","58","111.0","92","51","17","140","50","1.28","11.31","4.05","4.21","1.2","268.9","18679"
"Will Smith","ATL","4","3","14","8","3.51","0","64","64.0","52","25","9","86","23","1.16","12.08","3.18","3.53","1.2","164.6","8048"
"Elieser Hernandez","MIA","6","7","0","0","4.53","26","26","124.0","115","62","22","132","43","1.28","9.60","3.14","4.59","1.2","222.0","16933"
"Chris Martin","ATL","4","2","15","9","3.58","0","65","65.0","61","26","8","68","13","1.14","9.46","1.86","3.48","1.2","333.9","11847"
"Raisel Iglesias","LAA","6","4","29","3","3.55","0","64","64.0","53","25","9","78","22","1.18","10.93","3.10","3.73","1.2","79.6","17130"
"Peter Fairbanks","TBR","5","4","15","8","3.47","0","67","67.0","54","26","8","85","28","1.23","11.40","3.78","3.59","1.2","359.0","17998"
"Austin Gomber","COL","6","7","0","0","5.30","24","24","116.0","124","68","20","113","51","1.52","8.82","3.97","4.98","1.2","553.7","16561"
"Trevor Williams","CHC","8","9","0","0","4.82","24","24","135.0","142","73","22","114","45","1.38","7.57","2.99","4.74","1.1","588.0","16977"
"Diego Castillo","TBR","5","3","10","12","3.31","0","65","65.0","53","24","6","75","26","1.22","10.41","3.57","3.52","1.1","270.4","17496"
"Alex Cobb","LAA","9","9","0","0","4.92","26","26","143.0","157","78","25","105","40","1.38","6.62","2.52","5.00","1.1","561.5","6562"
"Giovanny Gallegos","STL","4","3","5","13","3.48","0","63","63.0","52","24","8","76","20","1.14","10.88","2.82","3.54","1.1","267.8","14986"
"Ross Stripling","TOR","6","6","0","10","4.33","13","69","108.0","109","52","18","103","30","1.29","8.58","2.50","4.32","1.1","529.3","13273"
"Michael Lorenzen","CIN","6","6","0","4","4.40","18","60","113.0","108","55","16","113","48","1.38","9.00","3.85","4.46","1.1","534.7","14843"
"Deivi Garcia","NYY","5","5","0","0","4.73","16","16","79.0","74","41","14","84","34","1.38","9.67","3.93","4.82","1.1","434.2","20276"
"Chad Kuhl","PIT","7","9","0","0","4.75","24","24","132.0","133","70","19","121","61","1.46","8.26","4.12","4.77","1.1","576.6","14975"
"Tejay Antone","CIN","7","7","0","9","4.49","16","66","115.0","112","57","16","112","48","1.39","8.81","3.77","4.50","1.1","314.0","16233"
"Matt Barnes","BOS","4","3","25","6","3.90","0","65","65.0","53","28","7","85","35","1.35","11.73","4.82","3.73","1.1","209.4","12863"
"Brad Hand","WSN","4","3","21","7","3.60","0","64","64.0","53","26","9","83","22","1.17","11.63","3.09","3.79","1.0","105.2","9111"
"Blake Treinen","LAD","6","3","6","14","3.43","0","67","67.0","59","26","6","69","25","1.25","9.23","3.32","3.57","1.0","487.8","12572"
"Vince Velasquez","PHI","6","6","0","7","4.39","15","65","108.0","100","53","19","126","40","1.30","10.47","3.35","4.43","1.0","588.5","11189"
"MacKenzie Gore","SDP","5","4","0","0","4.14","15","15","75.0","69","35","11","80","32","1.33","9.55","3.78","4.32","1.0","999.0","sa3005068"
"Aaron Bummer","CHW","2","2","3","13","3.40","0","62","62.0","54","23","5","64","26","1.29","9.33","3.80","3.66","1.0","546.7","16258"
"David Price","LAD","8","5","0","4","3.93","13","57","106.0","98","46","17","111","33","1.24","9.41","2.76","4.22","1.0","227.9","3184"
"Triston McKenzie","CLE","6","7","0","1","4.78","23","37","113.0","107","60","21","120","42","1.33","9.56","3.37","4.80","1.0","199.0","18000"
"Matt Shoemaker","MIN","6","6","0","0","4.84","19","19","104.0","103","56","19","97","37","1.35","8.40","3.19","4.90","1.0","547.0","4776"
"Drew Pomeranz","SDP","3","2","17","8","3.57","0","56","56.0","45","22","7","73","27","1.29","11.73","4.32","3.72","1.0","236.8","11426"
"Rafael Montero","SEA","3","3","24","5","3.79","0","63","63.0","56","27","9","71","22","1.23","10.21","3.13","3.98","1.0","174.8","12760"
"Jose Urquidy","HOU","7","7","0","0","4.81","24","24","117.0","120","63","23","105","34","1.31","8.06","2.61","4.95","1.0","191.0","18413"
"Rich Hill","TBR","7","6","0","0","4.44","19","19","101.0","94","50","16","99","40","1.32","8.79","3.56","4.71","1.0","509.0","4806"
"Devin Williams","MIL","5","3","3","11","3.43","0","65","65.0","50","25","7","90","34","1.28","12.40","4.64","3.64","1.0","185.2","15816"
"Alex Wood","SFG","6","5","0","1","3.99","18","36","89.0","87","40","12","84","27","1.28","8.49","2.76","4.07","1.0","571.9","13781"
"Kyle Cody","TEX","5","7","0","1","4.95","18","29","91.0","94","50","13","79","45","1.53","7.86","4.46","5.03","1.0","600.4","19686"
"A.J. Puk","OAK","6","6","0","4","4.06","13","59","98.0","86","44","12","108","47","1.36","9.94","4.28","4.18","0.9","409.8","19343"
"Craig Kimbrel","CHC","4","3","30","4","3.61","0","65","65.0","48","26","9","92","32","1.22","12.78","4.41","3.77","0.9","167.9","6655"
"Dean Kremer","BAL","7","9","0","0","5.23","24","24","132.0","135","76","25","123","61","1.48","8.44","4.14","5.36","0.9","571.3","19350"
"Carlos Rodon","CHW","6","6","0","1","4.74","16","42","101.0","98","53","17","100","45","1.42","8.98","4.01","4.86","0.9","506.6","16137"
"Keegan Akin","","6","8","0","0","5.02","21","21","109.0","108","61","22","105","50","1.45","8.72","4.10","5.35","0.9","583.9","19362"
"Archie Bradley","PHI","4","3","10","12","3.90","0","67","67.0","61","29","9","75","26","1.29","10.02","3.44","4.05","0.9","255.3","12918"
"Joakim Soria","ARI","4","3","19","7","4.01","0","62","62.0","57","28","8","66","22","1.27","9.64","3.22","3.89","0.9","279.9","6941"
"Michael Wacha","TBR","6","7","0","0","4.70","24","24","114.0","115","59","18","102","44","1.40","8.11","3.48","4.77","0.9","526.0","14078"
"Andrew Chafin","CHC","4","3","0","14","3.88","0","62","62.0","55","27","7","70","26","1.31","10.14","3.79","3.79","0.9","999.0","12988"
"Joely Rodriguez","TEX","3","3","9","10","4.02","0","58","58.0","53","26","6","60","24","1.34","9.38","3.74","3.99","0.9","586.2","11487"
"Jon Lester","WSN","8","9","0","0","5.10","24","24","131.0","146","74","24","111","45","1.45","7.63","3.07","5.05","0.9","557.8","4930"
"Trevor Cahill","PIT","4","5","0","1","4.63","16","28","77.0","75","39","10","70","33","1.41","8.19","3.91","4.60","0.9","598.1","6249"
"Emmanuel Clase","CLE","4","3","6","14","3.58","0","60","60.0","55","24","6","60","19","1.23","9.06","2.84","3.68","0.9","491.3","21032"
"Chris Flexen","SEA","4","4","0","1","4.33","15","29","72.0","68","35","11","76","27","1.31","9.40","3.30","4.40","0.8","584.9","13896"
"Kenley Jansen","LAD","4","3","29","5","3.91","0","63","63.0","54","27","10","75","20","1.17","10.67","2.83","4.00","0.8","107.2","3096"
"Amir Garrett","CIN","3","3","20","6","4.00","0","63","63.0","52","28","10","83","31","1.32","11.82","4.46","4.18","0.8","204.1","14375"
"Joe Ross","WSN","6","7","0","0","5.15","23","23","109.0","119","62","19","92","40","1.46","7.55","3.29","5.04","0.8","586.2","12972"
"Jakob Junis","KCR","6","7","0","1","4.67","15","51","107.0","112","55","17","95","30","1.33","8.02","2.54","4.59","0.8","593.1","13619"
"Michael Fulmer","DET","5","6","0","4","4.73","13","58","102.0","108","54","15","78","32","1.38","6.87","2.83","4.73","0.8","598.6","13218"
"Jake Diekman","OAK","4","3","4","11","3.44","0","67","67.0","50","26","6","88","39","1.33","11.81","5.24","3.79","0.8","461.3","5003"
"Cole Hamels","","5","5","0","0","4.65","16","16","91.0","92","47","14","81","35","1.39","7.99","3.42","4.78","0.8","597.9","4972"
"Mike Leake","","5","6","0","0","4.90","15","15","86.0","101","47","15","55","16","1.36","5.76","1.67","4.85","0.8","600.6","10130"
"Steven Brault","PIT","5","7","0","0","4.71","23","23","106.0","104","56","14","96","55","1.50","8.14","4.68","4.82","0.8","569.1","15291"
"Mychal Givens","COL","4","3","2","12","4.68","0","65","65.0","60","34","11","78","27","1.34","10.83","3.74","4.36","0.8","589.5","10430"
"Adrian Morejon","SDP","5","3","0","1","3.68","10","30","59.0","52","24","7","69","24","1.28","10.57","3.66","3.76","0.8","551.7","20039"
"Emilio Pagan","SDP","4","2","11","10","3.80","0","63","63.0","54","27","10","73","19","1.16","10.49","2.77","3.93","0.8","342.3","14771"
"A.J. Minter","ATL","5","3","3","14","3.68","0","60","60.0","52","25","7","72","25","1.29","10.87","3.77","3.67","0.8","571.5","18655"
