"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","ADP","playerid"
"Dominic Leone","SFG","1","1","0","1","4.24","0","16","16.0","14","8","2","18","7","1.35","10.15","4.11","4.17","0.0","999.0","13763"
"Kirby Snead","TOR","1","0","0","1","4.36","0","7","7.0","7","3","1","6","3","1.45","8.23","4.41","4.47","0.0","999.0","sa874046"
"Patrick Murphy","TOR","1","1","0","1","4.48","0","10","10.0","10","5","1","9","4","1.42","7.71","3.74","4.49","0.0","999.0","19712"
"Brandon Brennan","","1","1","0","1","4.47","0","20","20.0","19","10","3","19","10","1.44","8.49","4.40","4.69","0.0","999.0","13527"
"Tyler Johnson","CHW","0","0","0","1","4.22","0","8","8.0","7","4","1","8","3","1.36","9.53","3.86","4.49","0.0","999.0","sa915688"
"Jake Woodford","STL","1","2","0","1","5.22","5","13","27.0","28","16","5","23","13","1.51","7.52","4.28","5.42","0.0","999.0","18674"
"Gregory Mills","","0","0","0","1","4.11","0","5","5.0","5","2","1","5","2","1.34","8.78","3.60","4.22","0.0","999.0","sa918372"
"Ty Tice","TOR","1","1","0","1","4.55","0","20","20.0","19","10","3","19","11","1.49","8.72","4.89","4.73","0.0","999.0","sa3004015"
"Kyle Keller","","0","0","0","1","4.19","0","4","4.0","3","2","1","5","2","1.35","10.14","4.32","4.39","0.0","999.0","18890"
"Deolis Guerra","OAK","0","0","0","1","3.79","0","3","3.0","3","1","0","3","1","1.24","9.66","2.99","3.95","0.0","999.0","8410"
"Junior Fernandez","","1","1","0","1","4.46","0","18","18.0","17","9","2","17","10","1.47","8.55","4.93","4.66","0.0","999.0","18496"
"Javier Guerra","SDP","0","0","0","1","4.12","0","5","5.0","5","2","1","5","2","1.32","8.78","3.56","4.11","0.0","999.0","17292"
"Pedro Strop","CHC","2","2","0","1","4.57","0","34","34.0","32","17","5","32","17","1.43","8.41","4.40","4.78","0.0","999.0","4070"
"Tommy Doyle","COL","2","2","0","1","5.02","0","28","28.0","29","16","4","27","13","1.52","8.54","4.24","4.79","0.0","999.0","21281"
"Travis Lakins","BAL","2","2","0","3","4.86","0","42","42.0","43","23","7","37","20","1.50","7.90","4.33","5.11","0.0","999.0","18600"
"Sean Poppen","PIT","0","0","0","1","4.28","0","8","8.0","8","4","1","7","3","1.41","8.44","3.81","4.27","0.0","999.0","19583"
"Bobby Wahl","MIL","1","1","0","1","4.26","0","10","10.0","9","5","1","13","5","1.38","11.26","4.76","4.35","0.0","999.0","14832"
