"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Sean Murphy","OAK","123","494","433","98","23","1","20","58","62","46","127","10","1","0","",".228",".313",".422",".735",".318","","2.7","-0.4","","3.3","","250.5","19352"
"Bobby Witt Jr.","KCR","134","581","527","141","29","3","23","72","73","38","126","6","21","8","",".267",".322",".468",".790",".336","","2.1","0.6","","3.2","","93.2","sa3011225"
"Cody Bellinger","LAD","134","581","507","124","24","3","29","81","90","66","132","3","11","3","",".245",".333",".476",".809",".341","","1.0","0.6","","3.2","","97.4","15998"
"Christian Yelich","MIL","146","630","532","140","26","3","26","91","84","88","152","6","15","4","",".263",".371",".469",".840",".360","","-1.3","1.8","","3.2","","99.4","11477"
"Kyle Schwarber","","134","581","494","123","24","2","35","84","91","76","154","6","2","2","",".248",".352",".514",".866",".366","","-1.0","-1.3","","3.1","","120.5","16478"
"Willy Adames","MIL","143","616","548","139","29","2","24","80","74","60","171","2","7","4","",".254",".329",".445",".774",".333","","-0.8","0.0","","3.1","","123.5","15986"
"Jeimer Candelario","DET","146","630","555","141","34","4","19","75","71","65","140","6","1","1","",".254",".337",".430",".767",".332","","-0.6","-0.7","","3.0","","240.2","13621"
"Gleyber Torres","NYY","146","630","557","147","27","0","22","77","81","62","125","4","12","5","",".265",".339",".436",".775",".334","","-3.5","-0.3","","3.0","","151.9","16997"
"Ke'Bryan Hayes","PIT","139","602","540","140","32","4","14","75","59","50","127","4","11","3","",".260",".326",".412",".738",".320","","7.3","0.9","","3.0","","142.4","18577"
"Jacob Stallings","MIA","109","429","381","94","19","1","8","42","44","39","92","4","1","0","",".247",".321",".369",".690",".303","","6.2","-0.8","","3.0","","402.0","13723"
"Ty France","SEA","146","630","559","155","30","2","21","81","82","44","114","21","1","1","",".277",".350",".453",".803",".347","","1.5","-1.3","","3.0","","151.4","17982"
"J.P. Crawford","SEA","154","665","591","153","32","2","12","80","58","60","117","6","7","4","",".259",".331",".380",".711",".312","","-0.7","-1.0","","2.9","","408.6","15491"
"Luis Urías","MIL","138","595","514","130","26","2","20","76","74","63","123","11","6","2","",".254",".346",".431",".777",".337","","0.9","-0.4","","2.9","","158.4","16622"
"Javier Báez","DET","141","609","567","144","28","3","27","78","84","29","179","8","16","6","",".253",".298",".458",".755",".320","","-0.6","1.2","","2.9","","62.9","12979"
